"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Antarctica","2","5","0","0","1","0","0","0","0","0","8"
"Bouvet Island","1","1","0","0","0","0","0","0","0","0","2"
"French Southern Territories","3","13","4","0","9","0","0","1","0","0","30"
"Heard Island and McDonald Islands","1","10","0","0","2","0","0","0","0","0","13"
"South Georgia and the South Sandwich Islands","3","6","0","0","0","0","0","0","0","0","9"
"Anguilla","1","0","8","0","39","0","10","3","0","0","61"
"Antigua and Barbuda","2","3","8","0","39","0","11","3","0","0","66"
"Aruba","2","2","2","0","39","1","1","5","0","0","52"
"Bahamas","5","9","12","0","50","1","11","21","0","0","109"
"Barbados","3","3","7","0","38","0","11","4","0","0","66"
"Bermuda","4","3","4","0","32","2","28","8","0","0","81"
"Bonaire, Sint Eustatius and Saba","3","2","6","0","43","0","11","6","0","0","71"
"Cayman Islands","1","2","9","0","36","2","12","23","0","0","85"
"Cuba","10","18","35","49","53","0","23","187","0","0","375"
"Curaçao","3","2","5","0","39","0","11","4","0","0","64"
"Dominica","3","6","3","2","40","0","11","12","0","0","77"
"Dominican Republic","6","17","52","32","34","0","19","53","0","0","213"
"Grenada","3","2","7","1","39","0","10","4","0","0","66"
"Guadeloupe","4","4","9","3","39","1","15","11","0","0","86"
"Haiti","3","17","58","49","39","0","14","135","0","0","315"
"Jamaica","7","10","28","15","36","0","15","215","0","0","326"
"Martinique","1","5","9","2","35","2","0","10","0","0","64"
"Montserrat","2","3","4","1","36","0","11","7","0","0","64"
"Puerto Rico","2","11","15","14","40","0","0","68","0","0","150"
"Saint Barthélemy","1","0","4","0","27","0","11","2","0","0","45"
"Saint Kitts and Nevis","2","2","6","1","37","0","10","2","0","0","60"
"Saint Lucia","2","7","9","0","37","0","11","8","0","0","74"
"Saint Martin (French part)","2","1","7","0","35","0","10","3","0","0","58"
"Saint Vincent and the Grenadines","2","4","8","1","38","0","10","5","0","0","68"
"Sint Maarten (Dutch part)","2","1","7","0","35","0","10","2","0","0","57"
"Trinidad and Tobago","2","5","7","4","53","0","10","50","0","0","131"
"Turks and Caicos Islands","2","3","7","0","36","0","10","9","0","0","67"
"Virgin Islands, British","1","2","14","2","38","0","10","24","0","0","91"
"Virgin Islands, U.S.","1","3","14","2","37","0","0","20","0","0","77"
"China","78","96","47","130","181","15","70","666","8","0","1,291"
"Hong Kong","5","21","7","5","30","1","8","14","0","0","91"
"Japan","29","51","25","20","136","45","145","54","12","0","517"
"Korea, Democratic People's Republic of","10","29","2","1","34","0","4","19","2","0","101"
"Korea, Republic of","12","33","3","5","51","0","8","37","3","0","152"
"Macao","0","4","1","0","20","0","1","0","0","0","26"
"Mongolia","11","24","0","0","2","0","3","0","4","0","44"
"Taiwan, Province of China","12","24","11","10","124","1","129","88","2","0","401"
"Åland Islands","0","0","0","0","0","0","0","1","0","0","1"
"Albania","4","8","5","1","49","52","21","5","0","0","145"
"Andorra","2","3","1","0","0","3","5","1","0","0","15"
"Austria","5","13","1","0","11","43","32","38","46","0","189"
"Belgium","3","8","0","0","17","6","10","3","23","0","70"
"Bosnia and Herzegovina","5","7","3","1","41","19","24","5","1","0","106"
"Bulgaria","10","17","2","0","22","32","25","13","8","0","129"
"Croatia","10","15","4","2","70","50","30","11","24","0","216"
"Czechia","4","9","0","0","2","6","24","31","31","0","107"
"Denmark","2","9","0","0","24","5","12","2","29","0","83"
"Estonia","1","9","0","0","5","4","4","2","25","0","50"
"Faroe Islands","4","6","0","0","17","0","0","1","4","0","32"
"Finland","2","11","0","0","6","3","8","4","29","0","63"
"France","13","17","5","3","62","94","68","63","54","0","379"
"Germany","7","11","0","0","29","31","31","51","47","0","207"
"Gibraltar","4","7","0","1","25","4","2","1","0","0","44"
"Greece","12","18","10","4","88","179","130","77","7","0","525"
"Greenland","9","6","0","0","12","0","0","1","2","0","30"
"Guernsey","0","0","0","0","13","0","0","0","0","0","13"
"Holy See (Vatican City State)","2","0","0","0","0","0","0","0","0","0","2"
