kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — insecta,Lord Howe Horn-headed Stick-insect,Cornicandovia australica,Unknown,Global,Critically Endangered
animalia — amphibia,Yellow-spotted Tree Frog,Litoria castanea,Unknown,Global,Critically Endangered
animalia — amphibia,Peppered Tree Frog,Litoria piperata,Unknown,Global,Critically Endangered
animalia — mammalia,Nullarbor Dwarf Bettong,Bettongia pusilla,,Global,Extinct
animalia — mammalia,Western Long-beaked Echidna,Zaglossus bruijnii,Decreasing,Global,Critically Endangered
animalia — mammalia,Darling Downs Hopping-mouse,Notomys mordax,,Global,Extinct
animalia — mammalia,White-footed Rabbit-rat,Conilurus albipes,,Global,Extinct
animalia — gastropoda,,Tornelasmias capricorni,,Global,Extinct
animalia — gastropoda,,Beddomeia tumida,Unknown,Global,Critically Endangered
animalia — aves,Lord Howe Gerygone,Gerygone insularis,,Global,Extinct
animalia — aves,Island Thrush,Turdus poliocephalus,Decreasing,Global,Least Concern
animalia — gastropoda,,Fluvidona dulvertonensis,,Global,Extinct
animalia — hydrozoa,,Millepora boschmai,Unknown,Global,Critically Endangered
animalia — amphibia,Mount Glorious Torrent Frog,Taudactylus diurnus,,Global,Extinct
animalia — mammalia,Short-tailed Hopping-mouse,Notomys amplus,,Global,Extinct
animalia — mammalia,Crescent Nailtail Wallaby,Onychogalea lunata,,Global,Extinct
animalia — mammalia,Lord Howe Long-eared Bat,Nyctophilus howensis,,Global,Extinct
animalia — mammalia,Lesser Stick-nest Rat,Leporillus apicalis,,Global,Extinct
animalia — turbellaria,Lake Pedder Planarian,Romankenkius pedderensis,,Global,Extinct
animalia — actinopterygii,Smooth Handfish,Sympterichthys unipennis,,Global,Extinct
animalia — aves,Red-fronted Parakeet,Cyanoramphus novaezelandiae,Decreasing,Global,Least Concern
animalia — amphibia,,Rheobatrachus vitellinus,,Global,Extinct
animalia — mammalia,Eastern Hare-wallaby,Lagorchestes leporides,,Global,Extinct
animalia — mammalia,Broad-faced Potoroo,Potorous platyops,,Global,Extinct
animalia — mammalia,Pig-footed Bandicoot,Chaeropus ecaudatus,,Global,Extinct
animalia — mammalia,Broad-cheeked Hopping-mouse,Notomys robustus,,Global,Extinct
animalia — mammalia,Percy Island Flying Fox,Pteropus brunneus,,Global,Extinct
animalia — mammalia,Blue-grey Mouse,Pseudomys glaucus,,Global,Extinct
animalia — mammalia,Big-eared Hopping-mouse,Notomys macrotis,,Global,Extinct
animalia — aves,Robust White-eye,Zosterops strenuus,,Global,Extinct
animalia — aves,Paradise Parrot,Psephotellus pulcherrimus,,Global,Extinct
animalia — aves,Metallic Pigeon,Columba vitiensis,Stable,Global,Least Concern
animalia — aves,King Island Emu,Dromaius minor,,Global,Extinct
animalia — malacostraca,Coconut Crab,Birgus latro,Decreasing,Global,Vulnerable
animalia — mammalia,Toolache Wallaby,Macropus greyi,,Global,Extinct
animalia — clitellata,Lake Pedder Earthworm,Hypolimnus pedderensis,,Global,Extinct
animalia — mammalia,Kuluwarri,Lagorchestes asomatus,,Global,Extinct
animalia — mammalia,Desert Rat Kangaroo,Caloprymnus campestris,,Global,Extinct
animalia — mammalia,Long-eared Mouse,Pseudomys auritus,,Global,Extinct
animalia — mammalia,Desert Bettong,Bettongia anhydra,,Global,Extinct
animalia — aves,Kangaroo Island Emu,Dromaius baudinianus,,Global,Extinct
animalia — gastropoda,,Placostylus cuniculinsulae,,Global,Extinct
animalia — amphibia,,Rheobatrachus silus,,Global,Extinct
animalia — mammalia,Thylacine,Thylacinus cynocephalus,,Global,Extinct
animalia — mammalia,Desert Bandicoot,Perameles eremiana,,Global,Extinct
animalia — mammalia,Yallara,Macrotis leucura,,Global,Extinct
animalia — mammalia,Gould's Mouse,Pseudomys gouldii,,Global,Extinct
animalia — mammalia,Long-tailed Hopping-mouse,Notomys longicaudatus,,Global,Extinct
animalia — aves,White Swamphen,Porphyrio albus,,Global,Extinct
animalia — aves,Norfolk Starling,Aplonis fusca,,Global,Extinct
animalia — mammalia,Bramble Cay Melomys,Melomys rubicola,,Global,Extinct
animalia — mammalia,Capricorn Rabbit-rat,Conilurus capricornensis,,Global,Extinct
animalia — aves,Grey Petrel,Procellaria cinerea,Decreasing,Global,Near Threatened
