kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — insecta,,Pyrgus cirsii,Decreasing,"Global, Europe",Vulnerable
animalia — insecta,Cone-headed Grasshopper,Acrida ungarica,Stable,"Global, Europe",Least Concern
animalia — aves,Common Crane,Grus grus,Increasing,Global,Least Concern
animalia — aves,Lesser Kestrel,Falco naumanni,Stable,Global,Least Concern
animalia — insecta,Ruby Whiteface,Leucorrhinia rubicunda,Decreasing,Global,Least Concern
animalia — mammalia,Schreiber's Bent-winged Bat,Miniopterus schreibersii,Decreasing,Global,Vulnerable
animalia — actinopterygii,Beluga,Huso huso,Decreasing,Global,Critically Endangered
animalia — mammalia,Moose,Alces alces,Increasing,Global,Least Concern
animalia — aves,Aquatic Warbler,Acrocephalus paludicola,Decreasing,Global,Vulnerable
animalia — mammalia,European Mink,Mustela lutreola,Decreasing,Global,Critically Endangered
animalia — mammalia,Eurasian Beaver,Castor fiber,Increasing,Global,Least Concern
animalia — insecta,Meadow Fritillary,Melitaea parthenoides,Decreasing,"Global, Europe",Least Concern
animalia — aves,Little Bustard,Tetrax tetrax,Decreasing,Global,Near Threatened
animalia — aves,Bearded Vulture,Gypaetus barbatus,Decreasing,Global,Near Threatened
animalia — mammalia,Alpine Ibex,Capra ibex,Stable,"Global, Europe",Least Concern
animalia — gastropoda,Vielgestaltige Zwergquellschnecke,Belgrandiella multiformis,Decreasing,"Global, Europe",Critically Endangered
animalia — actinopterygii,,Salvelinus profundus,,"Global, Europe",Extinct
animalia — gastropoda,,Belgrandiella intermedia,,Global,Extinct
animalia — actinopterygii,Russian sturgeon,Acipenser gueldenstaedtii,Decreasing,Global,Critically Endangered
animalia — actinopterygii,,Coregonus gutturosus,,"Global, Europe",Extinct
animalia — gastropoda,,Iglica gratulabunda,Unknown,"Global, Europe",Critically Endangered
animalia — gastropoda,Kleine Zwergquellschnecke,Belgrandiella kreisslorum,Unknown,"Global, Europe",Critically Endangered
animalia — reptilia,Meadow Viper,Vipera ursinii,Decreasing,"Global, Europe",Vulnerable
animalia — gastropoda,Verkannte Zwergquellschnecke,Belgrandiella boetersi,Unknown,"Global, Europe",Critically Endangered
