kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — insecta,Baton Blue,Pseudophilotes baton,Decreasing,"Global, Europe",Least Concern
animalia — amphibia,,Bombina variegata,Decreasing,"Global, Europe",Least Concern
animalia — mammalia,Western Barbastelle,Barbastella barbastellus,Decreasing,Global,Near Threatened
animalia — mammalia,Brown Bear,Ursus arctos,Stable,Global,Least Concern
animalia — insecta,Pygmy Damselfly,Nehalennia speciosa,Decreasing,Global,Vulnerable
animalia — actinopterygii,Atlantic sturgeon,Acipenser sturio,Decreasing,"Global, Europe",Critically Endangered
animalia — insecta,Steppe Spiny Bush-cricket,Gampsocleis glabra,Decreasing,Global,Least Concern
animalia — mammalia,Eurasian Beaver,Castor fiber,Increasing,Global,Least Concern
animalia — mammalia,Greater Horseshoe Bat,Rhinolophus ferrumequinum,Decreasing,Global,Least Concern
animalia — bivalvia,Spengler's Freshwater Mussel,Pseudunio auricularius,Decreasing,"Global, Europe",Critically Endangered
animalia — actinopterygii,Houting,Coregonus oxyrinchus,,"Global, Europe",Extinct
animalia — insecta,,Graphoderus bilineatus,,Global,Vulnerable
animalia — insecta,,Dytiscus latissimus,,Global,Vulnerable
animalia — insecta,,Lasioglossum breviventre,Decreasing,"Global, Europe",Endangered
