kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — chondrichthyes,American Cownose Ray,Rhinoptera bonasus,Decreasing,Global,Vulnerable
animalia — mammalia,American Manatee,Trichechus manatus,Decreasing,Global,Vulnerable
animalia — mammalia,Southern Muriqui,Brachyteles arachnoides,Decreasing,Global,Critically Endangered
animalia — mammalia,Northern Muriqui,Brachyteles hypoxanthus,Decreasing,Global,Critically Endangered
animalia — mammalia,White-cheeked Spider Monkey,Ateles marginatus,Decreasing,Global,Endangered
animalia — mammalia,Pied Tamarin,Saguinus bicolor,Decreasing,Global,Critically Endangered
animalia — mammalia,,Mico argentatus,Decreasing,Global,Least Concern
animalia — mammalia,Common Marmoset,Callithrix jacchus,Decreasing,Global,Least Concern
animalia — mammalia,Humboldt's White-fronted Capuchin,Cebus albifrons,Decreasing,Global,Least Concern
animalia — mammalia,Red-bellied Titi Monkey,Plecturocebus moloch,Unknown,Global,Least Concern
animalia — actinopterygii,Long-snout Seahorse,Hippocampus reidi,Decreasing,Global,Near Threatened
animalia — mammalia,,Molossus molossus,Unknown,Global,Least Concern
animalia — mammalia,Silky Short-tailed Bat,Carollia brevicauda,Stable,Global,Least Concern
animalia — actinopterygii,Insular Pipefish,Anarchopterus tectus,Unknown,Global,Least Concern
animalia — actinopterygii,White-nose Pipefish,Cosmocampus albirostris,Unknown,Global,Least Concern
animalia — mammalia,Maned Three-toed Sloth,Bradypus torquatus,Decreasing,Global,Vulnerable
animalia — mammalia,Greater Naked-tailed Armadillo,Cabassous tatouay,Unknown,Global,Least Concern
animalia — mammalia,Southern Naked-Tailed Armadillo,Cabassous unicinctus,Unknown,Global,Least Concern
animalia — mammalia,Silky Anteater,Cyclopes didactylus,Unknown,Global,Least Concern
animalia — mammalia,Southern Three-banded Armadillo,Tolypeutes matacus,Decreasing,Global,Near Threatened
animalia — mammalia,Southern Tamandua,Tamandua tetradactyla,Unknown,Global,Least Concern
animalia — mammalia,Molina's Hog-nosed Skunk,Conepatus chinga,Decreasing,Global,Least Concern
animalia — mammalia,Kinkajou,Potos flavus,Decreasing,Global,Least Concern
animalia — mammalia,South American Fur Seal,Arctocephalus australis,Increasing,Global,Least Concern
animalia — actinopterygii,Lantern Bass,Serranus baldwini,Unknown,Global,Least Concern
animalia — chondrichthyes,Bull Shark,Carcharhinus leucas,Unknown,Global,Near Threatened
animalia — amphibia,South American Common Toad,Rhinella margaritifera,Stable,Global,Least Concern
animalia — amphibia,Rusty Treefrog,Boana boans,Stable,Global,Least Concern
animalia — amphibia,Emerald-eyed Treefrog,Boana crepitans,Stable,Global,Least Concern
animalia — amphibia,Small-headed Treefrog,Dendropsophus microcephalus,Increasing,Global,Least Concern
animalia — chondrichthyes,Atlantic Chupare,Styracura schmardae,Unknown,Global,Data Deficient
animalia — chondrichthyes,Caribbean Reef Shark,Carcharhinus perezi,Decreasing,Global,Near Threatened
animalia — mammalia,Short-eared Dog,Atelocynus microtis,Decreasing,Global,Near Threatened
animalia — amphibia,Bolivian Bleating Frog,Hamptophryne boliviana,Stable,Global,Least Concern
animalia — actinopterygii,,Astronesthes gemmifer,Unknown,Global,Data Deficient
animalia — actinopterygii,Scaleless Dragonfish,Leptostomias gladiator,Unknown,Global,Least Concern
animalia — mammalia,Lesser Long-tailed Bat,Choeroniscus minor,Unknown,Global,Least Concern
animalia — mammalia,Gray Brocket,Mazama gouazoubira,Decreasing,Global,Least Concern
animalia — insecta,American Snout,Libytheana carinenta,Unknown,Global,Least Concern
animalia — actinopterygii,Bastard Eel,Gymnothorax miliaris,Unknown,Global,Least Concern
animalia — actinopterygii,Caribbean Ocellated Moray,Gymnothorax ocellatus,Unknown,Global,Least Concern
animalia — actinopterygii,Blue Tang,Acanthurus coeruleus,Stable,Global,Least Concern
animalia — actinopterygii,Yellow Fin Mojarra,Gerres cinereus,Unknown,Global,Least Concern
animalia — actinopterygii,Viper Moray,Enchelycore nigricans,Unknown,Global,Least Concern
animalia — actinopterygii,Half-naked Hatchetfish,Argyropelecus hemigymnus,Stable,Global,Least Concern
animalia — amphibia,Itatiaia Highland Frog,Holoaden bradei,Decreasing,Global,Critically Endangered
animalia — gastropoda,,Megalobulimus grandis,,Global,Critically Endangered
animalia — malacostraca,Sculptured Mitten Lobster,Parribacus antarcticus,Unknown,Global,Least Concern
animalia — reptilia,Williams' Side-necked Turtle,Phrynops williamsi,Decreasing,Global,Vulnerable
animalia — actinopterygii,Gillbacker Sea Catfish,Sciades parkeri,Decreasing,Global,Vulnerable
animalia — gastropoda,,Conus scopulorum,Unknown,Global,Least Concern
animalia — gastropoda,Crown Cone,Conus regius,Unknown,Global,Least Concern
animalia — gastropoda,,Conus worki,Unknown,Global,Least Concern
animalia — mammalia,Melon-headed Whale,Peponocephala electra,Unknown,Global,Least Concern
animalia — actinopterygii,,Gonostoma denudatum,Unknown,Global,Least Concern
animalia — mammalia,Sowerby's Beaked Whale,Mesoplodon bidens,Unknown,Global,Least Concern
animalia — mammalia,Clymene Dolphin,Stenella clymene,Unknown,Global,Least Concern
animalia — mammalia,Hoary Fox,Lycalopex vetulus,Decreasing,Global,Near Threatened
animalia — mammalia,Maned Wolf,Chrysocyon brachyurus,Unknown,Global,Near Threatened
animalia — actinopterygii,Jackknife Fish,Equetus lanceolatus,Unknown,Global,Least Concern
animalia — actinopterygii,Jamaican Weakfish,Cynoscion jamaicensis,Stable,Global,Least Concern
animalia — actinopterygii,Green Weakfish,Cynoscion virescens,Unknown,Global,Least Concern
animalia — actinopterygii,Elongated Bristlemouth Fish,Gonostoma elongatum,Unknown,Global,Least Concern
animalia — aves,Serra Antwren,Formicivora serrana,Decreasing,Global,Least Concern
animalia — mammalia,Black-crowned Dwarf Marmoset,Callibella humilis,Unknown,Global,Least Concern
animalia — actinopterygii,Banded bellows fish ,Centriscops humerosus,Unknown,Global,Least Concern
animalia — actinopterygii,Banded Pipefish,Micrognathus crinitus,Unknown,Global,Least Concern
animalia — insecta,Wandering Glider,Pantala flavescens,Stable,Global,Least Concern
animalia — aves,Ochre-marked Parakeet,Pyrrhura cruentata,Decreasing,Global,Vulnerable
animalia — aves,Red-fan Parrot,Deroptyus accipitrinus,Decreasing,Global,Least Concern
animalia — aves,Willet,Tringa semipalmata,Stable,Global,Least Concern
animalia — actinopterygii,Lined Sole,Achirus lineatus,Unknown,Global,Least Concern
animalia — actinopterygii,Molly Miller,Scartella cristata,Stable,Global,Least Concern
animalia — mammalia,Jaguarundi,Herpailurus yagouaroundi,Decreasing,Global,Least Concern
animalia — aves,Lineated Woodpecker,Hylatomus lineatus,Increasing,Global,Least Concern
animalia — actinopterygii,Dusky Grouper,Epinephelus marginatus,Decreasing,Global,Vulnerable
animalia — aves,Brown Pelican,Pelecanus occidentalis,Increasing,Global,Least Concern
animalia — amphibia,Tiger-striped Leaf Frog,Callimedusa tomopterna,Stable,Global,Least Concern
animalia — amphibia,Reticulate Leaf Frog,Pithecopus ayeaye,Unknown,Global,Critically Endangered
animalia — aves,Peach-fronted Parakeet,Eupsittula aurea,Stable,Global,Least Concern
animalia — aves,Violet-crowned Plovercrest,Stephanoxis loddigesii,Unknown,Global,Least Concern
animalia — actinopterygii,Tonkin Weakfish,Cynoscion similis,Unknown,"Global, Caribbean",Least Concern
animalia — mammalia,Ocelot,Leopardus pardalis,Decreasing,Global,Least Concern
animalia — aves,Toco Toucan,Ramphastos toco,Decreasing,Global,Least Concern
animalia — actinopterygii,Banded Puffer,Colomesus psittacus,Unknown,Global,Least Concern
animalia — chondrichthyes,Spinetail Devil Ray,Mobula mobular,Decreasing,Global,Endangered
animalia — aves,Red-billed Tropicbird,Phaethon aethereus,Decreasing,Global,Least Concern
animalia — chondrichthyes,Largetooth Sawfish,Pristis pristis,Decreasing,Global,Critically Endangered
animalia — aves,Dwarf Tinamou,Taoniscus nanus,Decreasing,Global,Endangered
animalia — aves,Desertas Petrel,Pterodroma deserta,Stable,Global,Vulnerable
animalia — aves,Grey Heron,Ardea cinerea,Unknown,Global,Least Concern
