kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — myxini,Atlantic Hagfish,Myxine glutinosa,Unknown,Global,Least Concern
animalia — actinopterygii,Dealfish,Trachipterus arcticus,Unknown,Global,Least Concern
animalia — mammalia,Wolverine,Gulo gulo,Decreasing,Global,Least Concern
animalia — mammalia,Harbor Seal,Phoca vitulina,Unknown,Global,Least Concern
animalia — insecta,Ashton's Cuckoo Bumblebee,Bombus bohemicus,Decreasing,Global,Data Deficient
animalia — insecta,Rusty Patched Bumble Bee,Bombus affinis,Decreasing,Global,Critically Endangered
animalia — insecta,Sitka bumble bee,Bombus sitkensis,Stable,Global,Least Concern
animalia — insecta,Van Dyke Bumble Bee,Bombus vandykei,Stable,Global,Least Concern
animalia — insecta,Vosnesensky Bumble Bee,Bombus vosnesenskii,Stable,Global,Least Concern
animalia — insecta,White Shouldered Bumble Bee,Bombus appositus,Unknown,Global,Least Concern
animalia — actinopterygii,Northern Pipefish,Syngnathus fuscus,Unknown,Global,Least Concern
animalia — gastropoda,Pinto Abalone,Haliotis kamtschatkana,Stable,Global,Endangered
animalia — reptilia,,Crotalus horridus,Decreasing,Global,Least Concern
animalia — actinopterygii,,Astronesthes gemmifer,Unknown,Global,Data Deficient
animalia — insecta,Hunt Bumble Bee,Bombus huntii,Stable,Global,Least Concern
animalia — actinopterygii,Scaleless Dragonfish,Leptostomias gladiator,Unknown,Global,Least Concern
animalia — actinopterygii,,Chirostomias pliopterus,Unknown,Global,Least Concern
animalia — actinopterygii,Alfonsino,Beryx decadactylus,Unknown,Global,Least Concern
animalia — insecta,American Snout,Libytheana carinenta,Unknown,Global,Least Concern
animalia — actinopterygii,,Gonostoma denudatum,Unknown,Global,Least Concern
animalia — mammalia,Sowerby's Beaked Whale,Mesoplodon bidens,Unknown,Global,Least Concern
animalia — aves,Willow Grouse,Lagopus lagopus,Decreasing,Global,Least Concern
animalia — actinopterygii,Elongated Bristlemouth Fish,Gonostoma elongatum,Unknown,Global,Least Concern
animalia — actinopterygii,Smalleye Squaretail,Tetragonurus cuvieri,Stable,Global,Least Concern
animalia — actinopterygii,Bulbous Dreamer,Oneirodes eschrichtii,Unknown,Global,Least Concern
animalia — aves,Red-tailed Hawk,Buteo jamaicensis,Increasing,Global,Least Concern
animalia — aves,White Ibis,Eudocimus albus,Stable,Global,Least Concern
animalia — insecta,Wandering Glider,Pantala flavescens,Stable,Global,Least Concern
animalia — aves,American Black Duck,Anas rubripes,Decreasing,Global,Least Concern
animalia — aves,Willet,Tringa semipalmata,Stable,Global,Least Concern
animalia — insecta,Western Bumble Bee,Bombus occidentalis,Decreasing,Global,Vulnerable
animalia — insecta,Moorland Hawker,Aeshna juncea,Stable,Global,Least Concern
animalia — amphibia,Coastal Giant Salamander,Dicamptodon tenebrosus,Stable,Global,Least Concern
animalia — bivalvia,Eastern Pondmussel,Ligumia nasuta,Decreasing,Global,Vulnerable
animalia — amphibia,American Bullfrog,Lithobates catesbeianus,Increasing,Global,Least Concern
animalia — aves,Gyrfalcon,Falco rusticolus,Stable,Global,Least Concern
animalia — aves,Brown Pelican,Pelecanus occidentalis,Increasing,Global,Least Concern
animalia — mammalia,Brown Bear,Ursus arctos,Stable,Global,Least Concern
animalia — aves,Lapland Longspur,Calcarius lapponicus,Increasing,Global,Least Concern
animalia — insecta,Black Tail Bumble Bee,Bombus melanopygus,Stable,Global,Least Concern
