kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — chondrichthyes,American Cownose Ray,Rhinoptera bonasus,Decreasing,Global,Vulnerable
animalia — mammalia,American Manatee,Trichechus manatus,Decreasing,Global,Vulnerable
animalia — mammalia,Brown Spider Monkey,Ateles hybridus,Decreasing,Global,Critically Endangered
animalia — mammalia,Humboldt's White-fronted Capuchin,Cebus albifrons,Decreasing,Global,Least Concern
animalia — gastropoda,,Conus princeps,,Global,Least Concern
animalia — gastropoda,,Conus fergusoni,Unknown,Global,Least Concern
animalia — actinopterygii,Indigo Hamlet,Hypoplectrus indigo,Unknown,"Global, Caribbean",Least Concern
animalia — actinopterygii,Long-snout Seahorse,Hippocampus reidi,Decreasing,Global,Near Threatened
animalia — actinopterygii,Rainbow Parrotfish,Scarus guacamaia,Decreasing,Global,Near Threatened
animalia — mammalia,,Molossus molossus,Unknown,Global,Least Concern
animalia — mammalia,Silky Short-tailed Bat,Carollia brevicauda,Stable,Global,Least Concern
animalia — actinopterygii,Insular Pipefish,Anarchopterus tectus,Unknown,Global,Least Concern
animalia — actinopterygii,White-nose Pipefish,Cosmocampus albirostris,Unknown,Global,Least Concern
animalia — mammalia,Southern Naked-Tailed Armadillo,Cabassous unicinctus,Unknown,Global,Least Concern
animalia — mammalia,Silky Anteater,Cyclopes didactylus,Unknown,Global,Least Concern
animalia — mammalia,Southern Tamandua,Tamandua tetradactyla,Unknown,Global,Least Concern
animalia — mammalia,Kinkajou,Potos flavus,Decreasing,Global,Least Concern
animalia — actinopterygii,Lantern Bass,Serranus baldwini,Unknown,Global,Least Concern
animalia — chondrichthyes,Bull Shark,Carcharhinus leucas,Unknown,Global,Near Threatened
animalia — amphibia,South American Common Toad,Rhinella margaritifera,Stable,Global,Least Concern
animalia — amphibia,Horned Marsupial Frog,Gastrotheca cornuta,Decreasing,Global,Endangered
animalia — amphibia,Rusty Treefrog,Boana boans,Stable,Global,Least Concern
animalia — amphibia,Emerald-eyed Treefrog,Boana crepitans,Stable,Global,Least Concern
animalia — amphibia,Small-headed Treefrog,Dendropsophus microcephalus,Increasing,Global,Least Concern
animalia — amphibia,American White Lipped Frog,Leptodactylus fragilis,Stable,Global,Least Concern
animalia — chondrichthyes,Atlantic Chupare,Styracura schmardae,Unknown,Global,Data Deficient
animalia — chondrichthyes,Caribbean Reef Shark,Carcharhinus perezi,Decreasing,Global,Near Threatened
animalia — mammalia,Short-eared Dog,Atelocynus microtis,Decreasing,Global,Near Threatened
animalia — amphibia,Bolivian Bleating Frog,Hamptophryne boliviana,Stable,Global,Least Concern
animalia — actinopterygii,,Astronesthes gemmifer,Unknown,Global,Data Deficient
animalia — actinopterygii,Alfonsino,Beryx decadactylus,Unknown,Global,Least Concern
animalia — actinopterygii,Roughlip Cardinalfish,Apogon robinsi,Unknown,"Global, Caribbean",Least Concern
animalia — actinopterygii,Spotted Cardinalfish,Apogon maculatus,Stable,"Global, Caribbean",Least Concern
animalia — mammalia,Lesser Long-tailed Bat,Choeroniscus minor,Unknown,Global,Least Concern
animalia — mammalia,Central American Red Brocket,Mazama temama,Decreasing,Global,Data Deficient
animalia — insecta,American Snout,Libytheana carinenta,Unknown,Global,Least Concern
animalia — gastropoda,,Conus glenni,Unknown,Global,Least Concern
animalia — anthozoa,,Acropora cervicornis,Stable,Global,Critically Endangered
animalia — actinopterygii,Bastard Eel,Gymnothorax miliaris,Unknown,Global,Least Concern
animalia — actinopterygii,Caribbean Ocellated Moray,Gymnothorax ocellatus,Unknown,Global,Least Concern
animalia — actinopterygii,Blue Tang,Acanthurus coeruleus,Stable,Global,Least Concern
animalia — actinopterygii,Blue-spotted Bristletooth,Ctenochaetus marginatus,Unknown,Global,Least Concern
animalia — actinopterygii,Yellow Fin Mojarra,Gerres cinereus,Unknown,Global,Least Concern
animalia — actinopterygii,Viper Moray,Enchelycore nigricans,Unknown,Global,Least Concern
animalia — amphibia,Rosenberg's Treefrog,Boana rosenbergi,Stable,Global,Least Concern
animalia — gastropoda,,Conus kevani,Unknown,Global,Least Concern
animalia — gastropoda,,Conus arcuatus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus orion,,Global,Least Concern
animalia — gastropoda,Crown Cone,Conus regius,Unknown,Global,Least Concern
animalia — gastropoda,,Conus tornatus,,Global,Least Concern
animalia — gastropoda,,Conus purpurascens,,Global,Least Concern
animalia — gastropoda,,Conus ceruttii,Unknown,Global,Least Concern
animalia — actinopterygii,Bravo Clinid,Gobioclinus dendriticus,Unknown,Global,Vulnerable
animalia — mammalia,Melon-headed Whale,Peponocephala electra,Unknown,Global,Least Concern
animalia — actinopterygii,,Gonostoma denudatum,Unknown,Global,Least Concern
animalia — amphibia,Carchi Andes Toad,Rhaebo colomai,Decreasing,Global,Endangered
animalia — amphibia,Burrowes' Giant Glass Frog,Centrolene ballux,Decreasing,Global,Endangered
animalia — amphibia,Boettger's Colombian Treefrog,Dendropsophus columbianus,Stable,Global,Least Concern
animalia — actinopterygii,Jackknife Fish,Equetus lanceolatus,Unknown,Global,Least Concern
animalia — actinopterygii,Jamaican Weakfish,Cynoscion jamaicensis,Stable,Global,Least Concern
animalia — actinopterygii,Green Weakfish,Cynoscion virescens,Unknown,Global,Least Concern
animalia — actinopterygii,Elongated Bristlemouth Fish,Gonostoma elongatum,Unknown,Global,Least Concern
animalia — actinopterygii,Bulbous Dreamer,Oneirodes eschrichtii,Unknown,Global,Least Concern
animalia — reptilia,Common Spiny-tailed Iguana,Ctenosaura similis,Stable,Global,Least Concern
animalia — aves,White Ibis,Eudocimus albus,Stable,Global,Least Concern
animalia — amphibia,Boulenger's Snouted Treefrog,Scinax boulengeri,Stable,Global,Least Concern
animalia — amphibia,Fitzinger's Robber Frog,Craugastor fitzingeri,Stable,Global,Least Concern
animalia — amphibia,Rio San Juan Robber Frog,Pristimantis ridens,Stable,Global,Least Concern
animalia — amphibia,Savage's Thin-toed Frog,Leptodactylus savagei,Stable,Global,Least Concern
animalia — amphibia,Malvasa Stubfoot Toad,Atelopus eusebianus,Decreasing,Global,Critically Endangered
animalia — actinopterygii,Barred Pipefish,Syngnathus auliscus,Unknown,Global,Least Concern
animalia — actinopterygii,Banded Pipefish,Micrognathus crinitus,Unknown,Global,Least Concern
animalia — insecta,Wandering Glider,Pantala flavescens,Stable,Global,Least Concern
animalia — aves,Banded Ground-cuckoo,Neomorphus radiolosus,Decreasing,Global,Endangered
animalia — aves,Rufous-fronted Parakeet,Bolborhynchus ferrugineifrons,Decreasing,Global,Vulnerable
animalia — aves,Saffron-headed Parrot,Pyrilia pyrilia,Decreasing,Global,Near Threatened
animalia — aves,Red-fan Parrot,Deroptyus accipitrinus,Decreasing,Global,Least Concern
animalia — aves,Willet,Tringa semipalmata,Stable,Global,Least Concern
animalia — amphibia,,Flectonotus pygmaeus,Stable,Global,Least Concern
animalia — actinopterygii,Lined Sole,Achirus lineatus,Unknown,Global,Least Concern
animalia — actinopterygii,Spotted Drum,Equetus punctatus,Unknown,"Global, Caribbean",Least Concern
animalia — amphibia,,Andinobates tolimensis,Unknown,Global,Vulnerable
animalia — mammalia,Jaguarundi,Herpailurus yagouaroundi,Decreasing,Global,Least Concern
animalia — amphibia,Tungara Frog,Engystomops pustulosus,Stable,Global,Least Concern
animalia — aves,Lineated Woodpecker,Hylatomus lineatus,Increasing,Global,Least Concern
animalia — mammalia,Spectacled Bear,Tremarctos ornatus,Decreasing,Global,Vulnerable
animalia — aves,Brown Pelican,Pelecanus occidentalis,Increasing,Global,Least Concern
animalia — insecta,,Heteragrion tatama,Stable,Global,Least Concern
animalia — aves,Plumbeous Forest-falcon,Micrastur plumbeus,Decreasing,Global,Vulnerable
animalia — amphibia,Tiger-striped Leaf Frog,Callimedusa tomopterna,Stable,Global,Least Concern
animalia — aves,Cauca Guan,Penelope perspicax,Decreasing,Global,Endangered
animalia — aves,Fawn-breasted Brilliant,Heliodoxa rubinoides,Unknown,Global,Least Concern
animalia — aves,Black Inca,Coeligena prunellei,Decreasing,Global,Vulnerable
