kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — chondrichthyes,American Cownose Ray,Rhinoptera bonasus,Decreasing,Global,Vulnerable
animalia — mammalia,American Manatee,Trichechus manatus,Decreasing,Global,Vulnerable
animalia — reptilia,Savage's Earth Snake,Geophis downsi,Unknown,Global,Data Deficient
animalia — gastropoda,Pat's Cone,Conus patae,Unknown,Global,Least Concern
animalia — gastropoda,,Conus princeps,,Global,Least Concern
animalia — gastropoda,,Conus fergusoni,Unknown,Global,Least Concern
animalia — actinopterygii,Indigo Hamlet,Hypoplectrus indigo,Unknown,"Global, Caribbean",Least Concern
animalia — actinopterygii,Long-snout Seahorse,Hippocampus reidi,Decreasing,Global,Near Threatened
animalia — actinopterygii,Rainbow Parrotfish,Scarus guacamaia,Decreasing,Global,Near Threatened
animalia — mammalia,,Molossus molossus,Unknown,Global,Least Concern
animalia — actinopterygii,Insular Pipefish,Anarchopterus tectus,Unknown,Global,Least Concern
animalia — mammalia,Silky Anteater,Cyclopes didactylus,Unknown,Global,Least Concern
animalia — mammalia,Kinkajou,Potos flavus,Decreasing,Global,Least Concern
animalia — actinopterygii,Lantern Bass,Serranus baldwini,Unknown,Global,Least Concern
animalia — chondrichthyes,Bull Shark,Carcharhinus leucas,Unknown,Global,Near Threatened
animalia — amphibia,Horned Marsupial Frog,Gastrotheca cornuta,Decreasing,Global,Endangered
animalia — amphibia,Small-headed Treefrog,Dendropsophus microcephalus,Increasing,Global,Least Concern
animalia — amphibia,American White Lipped Frog,Leptodactylus fragilis,Stable,Global,Least Concern
animalia — chondrichthyes,Atlantic Chupare,Styracura schmardae,Unknown,Global,Data Deficient
animalia — chondrichthyes,Caribbean Reef Shark,Carcharhinus perezi,Decreasing,Global,Near Threatened
animalia — actinopterygii,,Astronesthes gemmifer,Unknown,Global,Data Deficient
animalia — actinopterygii,Spotted Cardinalfish,Apogon maculatus,Stable,"Global, Caribbean",Least Concern
animalia — mammalia,Thomas's Fruit-eating Bat,Dermanura watsoni,Stable,Global,Least Concern
animalia — mammalia,,Ectophylla alba,Decreasing,Global,Near Threatened
animalia — mammalia,Central American Red Brocket,Mazama temama,Decreasing,Global,Data Deficient
animalia — insecta,American Snout,Libytheana carinenta,Unknown,Global,Least Concern
animalia — gastropoda,,Conus tessulatus,Stable,Global,Least Concern
animalia — anthozoa,,Acropora cervicornis,Stable,Global,Critically Endangered
animalia — actinopterygii,Bastard Eel,Gymnothorax miliaris,Unknown,Global,Least Concern
animalia — actinopterygii,Caribbean Ocellated Moray,Gymnothorax ocellatus,Unknown,Global,Least Concern
animalia — actinopterygii,Blue Tang,Acanthurus coeruleus,Stable,Global,Least Concern
animalia — actinopterygii,Blue-spotted Bristletooth,Ctenochaetus marginatus,Unknown,Global,Least Concern
animalia — actinopterygii,Yellow Fin Mojarra,Gerres cinereus,Unknown,Global,Least Concern
animalia — actinopterygii,Viper Moray,Enchelycore nigricans,Unknown,Global,Least Concern
animalia — amphibia,Variable Harlequin Frog,Atelopus varius,Unknown,Global,Critically Endangered
animalia — amphibia,Spiny-headed Treefrog,Triprion spinosus,Decreasing,Global,Near Threatened
animalia — amphibia,Rosenberg's Treefrog,Boana rosenbergi,Stable,Global,Least Concern
animalia — amphibia,Common Dink Frog,Diasporus diastema,Decreasing,Global,Least Concern
animalia — amphibia,Noble's Robber Frog,Craugastor noblei,Unknown,Global,Least Concern
animalia — malacostraca,Sculptured Mitten Lobster,Parribacus antarcticus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus arcuatus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus orion,,Global,Least Concern
animalia — gastropoda,Crown Cone,Conus regius,Unknown,Global,Least Concern
animalia — gastropoda,,Conus ebraeus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus tornatus,,Global,Least Concern
animalia — gastropoda,Rosemary's Cone,Conus rosemaryae,Unknown,Global,Least Concern
animalia — gastropoda,,Conus purpurascens,,Global,Least Concern
animalia — mammalia,Melon-headed Whale,Peponocephala electra,Unknown,Global,Least Concern
animalia — actinopterygii,,Gonostoma denudatum,Unknown,Global,Least Concern
animalia — actinopterygii,Jackknife Fish,Equetus lanceolatus,Unknown,Global,Least Concern
animalia — actinopterygii,Jamaican Weakfish,Cynoscion jamaicensis,Stable,Global,Least Concern
animalia — actinopterygii,Green Weakfish,Cynoscion virescens,Unknown,Global,Least Concern
animalia — actinopterygii,Elongated Bristlemouth Fish,Gonostoma elongatum,Unknown,Global,Least Concern
animalia — actinopterygii,Bulbous Dreamer,Oneirodes eschrichtii,Unknown,Global,Least Concern
animalia — aves,Red-tailed Hawk,Buteo jamaicensis,Increasing,Global,Least Concern
animalia — reptilia,Common Spiny-tailed Iguana,Ctenosaura similis,Stable,Global,Least Concern
animalia — aves,White Ibis,Eudocimus albus,Stable,Global,Least Concern
animalia — amphibia,Chiriqui Harlequin Frog,Atelopus chiriquiensis,,Global,Extinct
animalia — amphibia,Rainforest Rocket Frog,Silverstoneia flotator,Decreasing,Global,Least Concern
animalia — amphibia,Gunther's Costa Rican Treefrog,Isthmohyla pseudopuma,Decreasing,Global,Least Concern
animalia — amphibia,Boulenger's Snouted Treefrog,Scinax boulengeri,Stable,Global,Least Concern
animalia — amphibia,Chiriqui Robber Frog,Pristimantis cruentus,Stable,Global,Least Concern
animalia — amphibia,Fitzinger's Robber Frog,Craugastor fitzingeri,Stable,Global,Least Concern
animalia — amphibia,Rio San Juan Robber Frog,Pristimantis ridens,Stable,Global,Least Concern
animalia — amphibia,Turbo White-lipped Frog,Leptodactylus poecilochilus,Stable,Global,Least Concern
animalia — amphibia,Savage's Thin-toed Frog,Leptodactylus savagei,Stable,Global,Least Concern
animalia — actinopterygii,Barred Pipefish,Syngnathus auliscus,Unknown,Global,Least Concern
animalia — actinopterygii,Banded Pipefish,Micrognathus crinitus,Unknown,Global,Least Concern
animalia — insecta,Wandering Glider,Pantala flavescens,Stable,Global,Least Concern
animalia — aves,Willet,Tringa semipalmata,Stable,Global,Least Concern
animalia — actinopterygii,Lined Sole,Achirus lineatus,Unknown,Global,Least Concern
animalia — actinopterygii,Spotted Drum,Equetus punctatus,Unknown,"Global, Caribbean",Least Concern
animalia — mammalia,Jaguarundi,Herpailurus yagouaroundi,Decreasing,Global,Least Concern
animalia — amphibia,Tungara Frog,Engystomops pustulosus,Stable,Global,Least Concern
animalia — reptilia,Central American Mabuya,Marisora unimarginata,Stable,Global,Least Concern
animalia — aves,Lineated Woodpecker,Hylatomus lineatus,Increasing,Global,Least Concern
animalia — amphibia,Cerro Pando Salamander,Bolitoglossa compacta,Decreasing,Global,Endangered
animalia — aves,Red-fronted Parrotlet,Touit costaricensis,Decreasing,Global,Vulnerable
animalia — aves,Brown Pelican,Pelecanus occidentalis,Increasing,Global,Least Concern
animalia — actinopterygii,Giant Seahorse,Hippocampus ingens,Decreasing,Global,Vulnerable
animalia — mammalia,Ocelot,Leopardus pardalis,Decreasing,Global,Least Concern
animalia — chondrichthyes,Spinetail Devil Ray,Mobula mobular,Decreasing,Global,Endangered
animalia — actinopterygii,Glass Headstander,Roeboides ilseae,Stable,Global,Vulnerable
animalia — aves,Glossy Ibis,Plegadis falcinellus,Decreasing,Global,Least Concern
animalia — actinopterygii,Mojarra,Cribroheros altifrons,Unknown,Global,Vulnerable
animalia — actinopterygii,Olomina,Brachyrhaphis holdridgei,Unknown,Global,Near Threatened
animalia — actinopterygii,Olomina de Rosen,Brachyrhaphis roseni,Unknown,Global,Near Threatened
animalia — actinopterygii,Armored Catfish,Rineloricaria uracantha,Stable,Global,Least Concern
animalia — amphibia,Talamanca Glass Frog,Hyalinobatrachium talamancae,Stable,Global,Least Concern
animalia — actinopterygii,Sloane's Viperfish,Chauliodus sloani,Unknown,Global,Least Concern
animalia — aves,Sabine's Gull,Xema sabini,Stable,Global,Least Concern
animalia — actinopterygii,Bean's Sawtooth Eel,Serrivomer beanii,Unknown,Global,Least Concern
animalia — aves,Red Phalarope,Phalaropus fulicarius,Unknown,Global,Least Concern
