kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — insecta,Baton Blue,Pseudophilotes baton,Decreasing,"Global, Europe",Least Concern
animalia — gastropoda,Lapidary Snail,Helicigona lapicida,Stable,"Global, Europe",Least Concern
animalia — gastropoda,Moss Chrysalis Snail,Pupilla muscorum,Decreasing,"Global, Europe",Least Concern
animalia — insecta,,Isoriphis marmottani,Unknown,"Global, Europe",Least Concern
animalia — insecta,,Clytus tropicus,Unknown,"Global, Europe",Least Concern
animalia — insecta,,Monochamus sartor,Unknown,"Global, Europe",Least Concern
animalia — insecta,,Denticollis interpositus,Unknown,"Global, Europe",Data Deficient
animalia — insecta,,Rosalia alpina,,Global,Vulnerable
animalia — mammalia,Lesser Horseshoe Bat,Rhinolophus hipposideros,Decreasing,Global,Least Concern
animalia — mammalia,Nathusius' Pipistrelle,Pipistrellus nathusii,Unknown,Global,Least Concern
animalia — insecta,Ashton's Cuckoo Bumblebee,Bombus bohemicus,Decreasing,Global,Data Deficient
animalia — reptilia,,Podarcis muralis,Stable,Global,Least Concern
animalia — insecta,,Erebia sudetica,Decreasing,"Global, Europe",Vulnerable
animalia — amphibia,,Bombina variegata,Decreasing,"Global, Europe",Least Concern
animalia — reptilia,,Lacerta viridis,Decreasing,Global,Least Concern
animalia — amphibia,Agile Frog,Rana dalmatina,Decreasing,Global,Least Concern
animalia — insecta,,Cucujus cinnaberinus,Increasing,"Global, Europe",Near Threatened
animalia — amphibia,,Ichthyosaura alpestris,Decreasing,"Global, Europe",Least Concern
animalia — insecta,,Nomada verna,Unknown,"Global, Europe",Data Deficient
animalia — insecta,Ornate Bluet,Coenagrion ornatum,Decreasing,Global,Least Concern
animalia — insecta,Variable Bluet,Coenagrion pulchellum,Stable,Global,Least Concern
animalia — insecta,Small Bluetail,Ischnura pumilio,Stable,Global,Least Concern
animalia — insecta,Common Clubtail,Gomphus vulgatissimus,Stable,Global,Least Concern
animalia — insecta,,Lestes macrostigma,Decreasing,Global,Least Concern
animalia — insecta,,Sympecma paedisca,Stable,Global,Least Concern
animalia — insecta,Broad-Bodied Chaser,Libellula depressa,Stable,Global,Least Concern
animalia — insecta,Southern Darter,Sympetrum meridionale,Stable,Global,Least Concern
animalia — mammalia,Soprano Pipistrelle,Pipistrellus pygmaeus,Unknown,Global,Least Concern
animalia — mammalia,Lesser Noctule,Nyctalus leisleri,Unknown,Global,Least Concern
animalia — mammalia,Western Barbastelle,Barbastella barbastellus,Decreasing,Global,Near Threatened
animalia — mammalia,Particoloured Bat,Vespertilio murinus,Stable,Global,Least Concern
animalia — mammalia,European Mole,Talpa europaea,Stable,Global,Least Concern
animalia — gastropoda,,Bythinella austriaca,Unknown,"Global, Europe",Least Concern
animalia — gastropoda,,Bithynia leachii,Stable,"Global, Europe, Mediterranean",Least Concern
animalia — gastropoda,,Causa holosericea,Stable,"Global, Europe",Least Concern
animalia — amphibia,European Tree Frog,Hyla arborea,Decreasing,Global,Least Concern
animalia — insecta,,Phengaris teleius,,Global,Near Threatened
animalia — gastropoda,,Malacolimax tenellus,Stable,"Global, Europe",Least Concern
animalia — aves,Stock Dove,Columba oenas,Increasing,Global,Least Concern
animalia — amphibia,Natterjack Toad,Epidalea calamita,Decreasing,"Global, Europe",Least Concern
animalia — aves,Jack Snipe,Lymnocryptes minimus,Stable,Global,Least Concern
animalia — aves,Spotted Redshank,Tringa erythropus,Stable,Global,Least Concern
animalia — aves,Marsh Sandpiper,Tringa stagnatilis,Decreasing,Global,Least Concern
animalia — aves,Wood Warbler,Phylloscopus sibilatrix,Decreasing,Global,Least Concern
animalia — aves,Bearded Reedling,Panurus biarmicus,Unknown,Global,Least Concern
animalia — aves,Alpine Accentor,Prunella collaris,Stable,Global,Least Concern
animalia — aves,Willow Grouse,Lagopus lagopus,Decreasing,Global,Least Concern
animalia — aves,Eurasian Blackcap,Sylvia atricapilla,Increasing,Global,Least Concern
animalia — aves,Yellowhammer,Emberiza citrinella,Decreasing,Global,Least Concern
animalia — insecta,Cone-headed Grasshopper,Acrida ungarica,Stable,"Global, Europe",Least Concern
animalia — insecta,Green Mountain Grasshopper,Miramella alpina,Stable,"Global, Europe",Least Concern
animalia — insecta,Balkan Speckled Bush-cricket,Leptophyes boscii,Decreasing,"Global, Europe",Least Concern
animalia — insecta,Moorland Hawker,Aeshna juncea,Stable,Global,Least Concern
animalia — aves,Mute Swan,Cygnus olor,Increasing,Global,Least Concern
animalia — aves,Common Crane,Grus grus,Increasing,Global,Least Concern
animalia — aves,Eurasian Bittern,Botaurus stellaris,Decreasing,Global,Least Concern
animalia — mammalia,Bicolored Shrew,Crocidura leucodon,Unknown,Global,Least Concern
animalia — mammalia,Eurasian Pygmy Shrew,Sorex minutus,Stable,Global,Least Concern
animalia — insecta,,Anogcodes fulvicollis,Stable,"Global, Europe",Least Concern
animalia — aves,Common Grasshopper-warbler,Locustella naevia,Stable,Global,Least Concern
animalia — aves,Woodchat Shrike,Lanius senator,Decreasing,Global,Least Concern
animalia — aves,Rook,Corvus frugilegus,Decreasing,Global,Least Concern
animalia — aves,Carrion Crow,Corvus corone,Increasing,Global,Least Concern
animalia — mammalia,Hazel Dormouse,Muscardinus avellanarius,Unknown,Global,Least Concern
animalia — aves,Common Kestrel,Falco tinnunculus,Decreasing,Global,Least Concern
animalia — aves,River Warbler,Locustella fluviatilis,Decreasing,Global,Least Concern
animalia — aves,Common Rosefinch,Carpodacus erythrinus,Decreasing,Global,Least Concern
animalia — aves,Ortolan Bunting,Emberiza hortulana,Decreasing,Global,Least Concern
animalia — aves,Eurasian Treecreeper,Certhia familiaris,Stable,Global,Least Concern
animalia — aves,Grey Wagtail,Motacilla cinerea,Stable,Global,Least Concern
animalia — aves,Black Stork,Ciconia nigra,Unknown,Global,Least Concern
animalia — aves,Common Nightingale,Luscinia megarhynchos,Stable,Global,Least Concern
animalia — aves,Eurasian Pygmy-owl,Glaucidium passerinum,Stable,Global,Least Concern
animalia — aves,Great Spotted Woodpecker,Dendrocopos major,Increasing,Global,Least Concern
animalia — aves,Northern Long-eared Owl,Asio otus,Decreasing,Global,Least Concern
animalia — aves,Lesser Kestrel,Falco naumanni,Stable,Global,Least Concern
animalia — aves,Eurasian Jackdaw,Corvus monedula,Stable,Global,Least Concern
animalia — aves,White-throated Dipper,Cinclus cinclus,Decreasing,Global,Least Concern
animalia — aves,European Pied Flycatcher,Ficedula hypoleuca,Decreasing,Global,Least Concern
animalia — aves,Meadow Pipit,Anthus pratensis,Decreasing,Global,Near Threatened
animalia — gastropoda,,Sphyradium doliolum,Stable,Global,Least Concern
animalia — aves,Black Redstart,Phoenicurus ochruros,Increasing,Global,Least Concern
animalia — aves,Marsh Warbler,Acrocephalus palustris,Stable,Global,Least Concern
animalia — aves,Common Whitethroat,Sylvia communis,Increasing,Global,Least Concern
animalia — aves,Eurasian Penduline-tit,Remiz pendulinus,Increasing,Global,Least Concern
animalia — aves,Eurasian Oystercatcher,Haematopus ostralegus,Decreasing,Global,Near Threatened
animalia — insecta,Pygmy Damselfly,Nehalennia speciosa,Decreasing,Global,Vulnerable
animalia — insecta,Sombre Goldenring,Cordulegaster bidentata,Decreasing,"Global, Europe",Near Threatened
animalia — insecta,Balkan Goldenring,Cordulegaster heros,Decreasing,"Global, Europe",Near Threatened
animalia — insecta,Lilypad Whiteface,Leucorrhinia caudalis,Stable,Global,Least Concern
animalia — insecta,Small Whiteface,Leucorrhinia dubia,Unknown,Global,Least Concern
animalia — insecta,Azure Hawker,Aeshna caerulea,Decreasing,Global,Least Concern
animalia — insecta,Ruby Whiteface,Leucorrhinia rubicunda,Decreasing,Global,Least Concern
animalia — insecta,Southern Sickle Bush-cricket,Phaneroptera nana,Increasing,Global,Least Concern
animalia — aves,Bluethroat,Cyanecula svecica,Stable,Global,Least Concern
animalia — aves,European Bee-eater,Merops apiaster,Stable,Global,Least Concern
animalia — aves,Glossy Ibis,Plegadis falcinellus,Decreasing,Global,Least Concern
animalia — aves,Red-necked Phalarope,Phalaropus lobatus,Decreasing,Global,Least Concern
animalia — aves,Grey Heron,Ardea cinerea,Unknown,Global,Least Concern
animalia — aves,Eurasian Spoonbill,Platalea leucorodia,Unknown,Global,Least Concern
animalia — aves,Velvet Scoter,Melanitta fusca,Decreasing,Global,Vulnerable
animalia — aves,Eurasian Bullfinch,Pyrrhula pyrrhula,Decreasing,Global,Least Concern
animalia — aves,Common Scoter,Melanitta nigra,Unknown,Global,Least Concern
animalia — aves,Red Phalarope,Phalaropus fulicarius,Unknown,Global,Least Concern
animalia — aves,Little Gull,Hydrocoloeus minutus,Increasing,Global,Least Concern
animalia — mammalia,Golden Jackal,Canis aureus,Increasing,Global,Least Concern
animalia — mammalia,Red Fox,Vulpes vulpes,Stable,Global,Least Concern
animalia — aves,Eurasian Nuthatch,Sitta europaea,Stable,Global,Least Concern
animalia — aves,Willow Tit,Poecile montanus,Decreasing,Global,Least Concern
animalia — aves,Black-necked Grebe,Podiceps nigricollis,Unknown,Global,Least Concern
animalia — reptilia,,Natrix tessellata,Decreasing,Global,Least Concern
animalia — insecta,Apollo,Parnassius apollo,,Global,Vulnerable
animalia — insecta,Grayling,Hipparchia semele,Decreasing,"Global, Europe",Least Concern
animalia — reptilia,Smooth Snake,Coronella austriaca,Decreasing,Global,Least Concern
animalia — gastropoda,Lesser Bulin,Merdigera obscura,Stable,Global,Least Concern
animalia — gastropoda,,Isognomostoma isognomostomos,Stable,"Global, Europe",Least Concern
animalia — insecta,,Ampedus aethiops,Unknown,"Global, Europe",Least Concern
animalia — insecta,,Grynocharis oblonga,Decreasing,"Global, Europe",Least Concern
animalia — insecta,,Ampedus brunnicornis,Unknown,"Global, Europe",Vulnerable
animalia — insecta,Spotted Darter,Sympetrum depressiusculum,Unknown,Global,Least Concern
animalia — insecta,Geelschouderwespbij,Nomada ferruginata,Stable,"Global, Europe",Least Concern
animalia — mammalia,Noctule,Nyctalus noctula,Unknown,Global,Least Concern
animalia — mammalia,Greater Mouse-eared Bat,Myotis myotis,Stable,Global,Least Concern
animalia — mammalia,Lesser Mouse-eared Myotis,Myotis blythii,Decreasing,Global,Least Concern
animalia — mammalia,,Myotis dasycneme,Decreasing,Global,Near Threatened
animalia — mammalia,Savi's Pipistrelle,Hypsugo savii,Stable,Global,Least Concern
animalia — mammalia,Eurasian Otter,Lutra lutra,Decreasing,Global,Near Threatened
animalia — mammalia,Moose,Alces alces,Increasing,Global,Least Concern
animalia — insecta,,Andrena bucephala,Unknown,"Global, Europe",Data Deficient
animalia — insecta,,Andrena fulvata,Unknown,"Global, Europe",Data Deficient
animalia — insecta,,Andrena suerinensis,Unknown,"Global, Europe",Data Deficient
animalia — insecta,Yellow-spotted Emerald,Somatochlora flavomaculata,Stable,Global,Least Concern
animalia — insecta,Vagrant Darter,Sympetrum vulgatum,Stable,Global,Least Concern
animalia — mammalia,Pine Marten,Martes martes,Stable,Global,Least Concern
animalia — insecta,Green Emerald Damselfly,Chalcolestes viridis,Stable,Global,Least Concern
animalia — mammalia,Wild Boar,Sus scrofa,Unknown,Global,Least Concern
animalia — aves,Hazel Grouse,Bonasa bonasia,Decreasing,Global,Least Concern
animalia — aves,Whooper Swan,Cygnus cygnus,Unknown,Global,Least Concern
animalia — aves,Smew,Mergellus albellus,Decreasing,Global,Least Concern
animalia — aves,Greater White-fronted Goose,Anser albifrons,Unknown,Global,Least Concern
animalia — aves,Little Crake,Zapornia parva,Stable,Global,Least Concern
animalia — aves,White Stork,Ciconia ciconia,Increasing,Global,Least Concern
animalia — aves,Little Egret,Egretta garzetta,Increasing,Global,Least Concern
animalia — aves,Common Greenshank,Tringa nebularia,Stable,Global,Least Concern
animalia — aves,Tawny Owl,Strix aluco,Stable,Global,Least Concern
animalia — insecta,,Evodinus clathratus,Stable,"Global, Europe",Least Concern
animalia — insecta,Krauss's Plump Bush-cricket,Isophya kraussii,Unknown,"Global, Europe",Least Concern
animalia — insecta,Blue-eyed Hawker,Aeshna affinis,Increasing,Global,Least Concern
animalia — insecta,Green-eyed Hawker,Aeshna isoceles,Unknown,Global,Least Concern
animalia — insecta,Red Band-winged Grasshopper,Oedipoda germanica,Decreasing,"Global, Europe",Least Concern
