kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — insecta,,Nomada verna,Unknown,"Global, Europe",Data Deficient
animalia — insecta,Cone-headed Grasshopper,Acrida ungarica,Stable,"Global, Europe",Least Concern
animalia — aves,Lesser Kestrel,Falco naumanni,Stable,Global,Least Concern
animalia — mammalia,Wild Cat,Felis silvestris,Decreasing,Global,Least Concern
animalia — actinopterygii,Atlantic Salmon,Salmo salar,,Global,Least Concern
animalia — mammalia,European Mink,Mustela lutreola,Decreasing,Global,Critically Endangered
animalia — mammalia,Eurasian Beaver,Castor fiber,Increasing,Global,Least Concern
animalia — aves,Little Bustard,Tetrax tetrax,Decreasing,Global,Near Threatened
animalia — bivalvia,Spengler's Freshwater Mussel,Pseudunio auricularius,Decreasing,"Global, Europe",Critically Endangered
animalia — insecta,,Nomada noskiewiczi,Decreasing,"Global, Europe",Vulnerable
animalia — bivalvia,,Sphaerium solidum,Decreasing,Global,Near Threatened
animalia — insecta,,Halictus langobardicus,Stable,"Global, Europe",Least Concern
animalia — insecta,Kalkgraslandwespbij,Nomada piccioliana,Decreasing,"Global, Europe",Least Concern
animalia — insecta,,Lasioglossum setulosum,Unknown,"Global, Europe",Near Threatened
animalia — actinopterygii,,Platichthys flesus,Decreasing,Global,Least Concern
animalia — cephalaspidomorphi,Sea Lamprey,Petromyzon marinus,Stable,Global,Least Concern
animalia — insecta,Matglanswespbij,Nomada similis,Decreasing,"Global, Europe",Least Concern
animalia — insecta,,Andrena anthrisci,Unknown,"Global, Europe",Least Concern
animalia — insecta,,Andrena curvana,Unknown,"Global, Europe",Data Deficient
animalia — insecta,,Andrena curtula,Unknown,"Global, Europe",Data Deficient
