kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — gastropoda,Lapidary Snail,Helicigona lapicida,Stable,"Global, Europe",Least Concern
animalia — gastropoda,Moss Chrysalis Snail,Pupilla muscorum,Decreasing,"Global, Europe",Least Concern
animalia — mammalia,Nathusius' Pipistrelle,Pipistrellus nathusii,Unknown,Global,Least Concern
animalia — mammalia,Wolverine,Gulo gulo,Decreasing,Global,Least Concern
animalia — mammalia,Harbor Seal,Phoca vitulina,Unknown,Global,Least Concern
animalia — insecta,Ashton's Cuckoo Bumblebee,Bombus bohemicus,Decreasing,Global,Data Deficient
animalia — insecta,,Cucujus cinnaberinus,Increasing,"Global, Europe",Near Threatened
animalia — insecta,Variable Bluet,Coenagrion pulchellum,Stable,Global,Least Concern
animalia — insecta,Small Bluetail,Ischnura pumilio,Stable,Global,Least Concern
animalia — insecta,Common Clubtail,Gomphus vulgatissimus,Stable,Global,Least Concern
animalia — insecta,,Sympecma paedisca,Stable,Global,Least Concern
animalia — insecta,Broad-Bodied Chaser,Libellula depressa,Stable,Global,Least Concern
animalia — mammalia,Particoloured Bat,Vespertilio murinus,Stable,Global,Least Concern
animalia — mammalia,European Mole,Talpa europaea,Stable,Global,Least Concern
animalia — gastropoda,,Malacolimax tenellus,Stable,"Global, Europe",Least Concern
animalia — aves,Stock Dove,Columba oenas,Increasing,Global,Least Concern
animalia — aves,Jack Snipe,Lymnocryptes minimus,Stable,Global,Least Concern
animalia — aves,Spotted Redshank,Tringa erythropus,Stable,Global,Least Concern
animalia — aves,Marsh Sandpiper,Tringa stagnatilis,Decreasing,Global,Least Concern
animalia — aves,Wood Warbler,Phylloscopus sibilatrix,Decreasing,Global,Least Concern
animalia — aves,Bearded Reedling,Panurus biarmicus,Unknown,Global,Least Concern
animalia — aves,Willow Grouse,Lagopus lagopus,Decreasing,Global,Least Concern
animalia — aves,Eurasian Blackcap,Sylvia atricapilla,Increasing,Global,Least Concern
animalia — aves,Parrot Crossbill,Loxia pytyopsittacus,Stable,Global,Least Concern
animalia — aves,Yellowhammer,Emberiza citrinella,Decreasing,Global,Least Concern
animalia — insecta,Moorland Hawker,Aeshna juncea,Stable,Global,Least Concern
animalia — aves,Mute Swan,Cygnus olor,Increasing,Global,Least Concern
animalia — aves,Common Crane,Grus grus,Increasing,Global,Least Concern
animalia — aves,Eurasian Bittern,Botaurus stellaris,Decreasing,Global,Least Concern
animalia — actinopterygii,Black Goby,Gobius niger,Stable,Global,Least Concern
animalia — mammalia,Eurasian Pygmy Shrew,Sorex minutus,Stable,Global,Least Concern
animalia — aves,Common Grasshopper-warbler,Locustella naevia,Stable,Global,Least Concern
animalia — aves,Rook,Corvus frugilegus,Decreasing,Global,Least Concern
animalia — aves,Carrion Crow,Corvus corone,Increasing,Global,Least Concern
animalia — aves,Gyrfalcon,Falco rusticolus,Stable,Global,Least Concern
animalia — mammalia,Brown Bear,Ursus arctos,Stable,Global,Least Concern
animalia — aves,Common Kestrel,Falco tinnunculus,Decreasing,Global,Least Concern
animalia — aves,River Warbler,Locustella fluviatilis,Decreasing,Global,Least Concern
animalia — aves,Common Rosefinch,Carpodacus erythrinus,Decreasing,Global,Least Concern
animalia — aves,Ortolan Bunting,Emberiza hortulana,Decreasing,Global,Least Concern
animalia — aves,Lapland Longspur,Calcarius lapponicus,Increasing,Global,Least Concern
animalia — aves,Eurasian Treecreeper,Certhia familiaris,Stable,Global,Least Concern
animalia — aves,Grey Wagtail,Motacilla cinerea,Stable,Global,Least Concern
animalia — aves,Eurasian Pygmy-owl,Glaucidium passerinum,Stable,Global,Least Concern
animalia — aves,Great Spotted Woodpecker,Dendrocopos major,Increasing,Global,Least Concern
animalia — aves,Azure Tit,Cyanistes cyanus,Decreasing,Global,Least Concern
animalia — aves,Northern Long-eared Owl,Asio otus,Decreasing,Global,Least Concern
animalia — aves,Eurasian Jackdaw,Corvus monedula,Stable,Global,Least Concern
animalia — aves,White-throated Dipper,Cinclus cinclus,Decreasing,Global,Least Concern
animalia — aves,European Pied Flycatcher,Ficedula hypoleuca,Decreasing,Global,Least Concern
animalia — aves,Meadow Pipit,Anthus pratensis,Decreasing,Global,Near Threatened
animalia — aves,Black Redstart,Phoenicurus ochruros,Increasing,Global,Least Concern
animalia — aves,Marsh Warbler,Acrocephalus palustris,Stable,Global,Least Concern
animalia — aves,Common Whitethroat,Sylvia communis,Increasing,Global,Least Concern
animalia — aves,Eurasian Penduline-tit,Remiz pendulinus,Increasing,Global,Least Concern
animalia — aves,Eurasian Oystercatcher,Haematopus ostralegus,Decreasing,Global,Near Threatened
animalia — insecta,Pygmy Damselfly,Nehalennia speciosa,Decreasing,Global,Vulnerable
animalia — insecta,Lilypad Whiteface,Leucorrhinia caudalis,Stable,Global,Least Concern
animalia — insecta,Small Whiteface,Leucorrhinia dubia,Unknown,Global,Least Concern
animalia — insecta,Azure Hawker,Aeshna caerulea,Decreasing,Global,Least Concern
