kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — insecta,,Sympecma paedisca,Stable,Global,Least Concern
animalia — mammalia,Iberian wild goat,Capra pyrenaica,Increasing,"Global, Europe, Mediterranean",Least Concern
animalia — gastropoda,,Henrigirardia wienini,Unknown,"Global, Europe, Mediterranean",Critically Endangered
animalia — mammalia,Mediterranean Monk Seal,Monachus monachus,Increasing,Global,Endangered
animalia — aves,Cinereous Vulture,Aegypius monachus,Decreasing,Global,Near Threatened
animalia — mammalia,North African Hedgehog,Atelerix algirus,Unknown,"Global, Mediterranean",Least Concern
animalia — aves,Black Wheatear,Oenanthe leucura,Decreasing,Global,Least Concern
animalia — mammalia,Alpine Ibex,Capra ibex,Stable,"Global, Europe",Least Concern
animalia — actinopterygii,,Coregonus fera,,"Global, Europe",Extinct
animalia — insecta,,Pseudoyersinia brevipennis,,"Global, Europe",Extinct
animalia — gastropoda,,Striolata striolata,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — actinopterygii,Houting,Coregonus oxyrinchus,,"Global, Europe",Extinct
animalia — actinopterygii,,Coregonus bezola,,"Global, Europe",Extinct
animalia — gastropoda,,Belgrandia moitessieri,Unknown,"Global, Europe, Mediterranean",Critically Endangered
animalia — gastropoda,,Bythinella eutrepha,Unknown,"Global, Europe, Mediterranean",Critically Endangered
animalia — actinopterygii,,Coregonus hiemalis,,"Global, Europe",Extinct
animalia — gastropoda,,Bythinella gibbosa,Unknown,"Global, Europe",Extinct
animalia — gastropoda,,Montserratina becasis,Unknown,"Global, Europe",Critically Endangered
animalia — gastropoda,,Belgrandia varica,Unknown,"Global, Europe, Mediterranean",Critically Endangered
animalia — gastropoda,,Spiralix corsica,Unknown,"Global, Europe, Mediterranean",Critically Endangered
animalia — mammalia,Sardinian Pika,Prolagus sardus,,"Global, Europe, Mediterranean",Extinct
animalia — insecta,,Siettitia balsetensis,,Global,Extinct
animalia — insecta,,Dytiscus latissimus,,Global,Vulnerable
animalia — gastropoda,,Charpentieria dyodon,Unknown,"Global, Europe",Least Concern
animalia — gastropoda,,Helicopsis striata,Unknown,Global,Least Concern
