kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — chondrichthyes,Angelshark,Squatina squatina,Decreasing,"Global, Europe",Critically Endangered
animalia — mammalia,Brown Bear,Ursus arctos,Stable,Global,Least Concern
animalia — insecta,,Coenagrion hylas,Stable,Global,Least Concern
animalia — mammalia,Schreiber's Bent-winged Bat,Miniopterus schreibersii,Decreasing,Global,Vulnerable
animalia — mammalia,Savi's Pipistrelle,Hypsugo savii,Stable,Global,Least Concern
animalia — actinopterygii,Atlantic sturgeon,Acipenser sturio,Decreasing,"Global, Europe",Critically Endangered
animalia — mammalia,Bavarian Pine Vole,Microtus bavaricus,Decreasing,"Global, Europe",Critically Endangered
animalia — mammalia,European Souslik,Spermophilus citellus,Decreasing,"Global, Europe",Endangered
animalia — aves,Dalmatian Pelican,Pelecanus crispus,Decreasing,Global,Near Threatened
animalia — insecta,Blue-eyed Hooktail,Onychogomphus uncatus,Stable,Global,Least Concern
animalia — insecta,,Buprestis splendens,Decreasing,"Global, Europe",Endangered
animalia — mammalia,European Mink,Mustela lutreola,Decreasing,Global,Critically Endangered
animalia — aves,Rufous-tailed Rock-thrush,Monticola saxatilis,Decreasing,Global,Least Concern
animalia — aves,Saker Falcon,Falco cherrug,Decreasing,Global,Endangered
animalia — mammalia,European Bison,Bison bonasus,Increasing,Global,Near Threatened
animalia — aves,Little Bustard,Tetrax tetrax,Decreasing,Global,Near Threatened
animalia — insecta,,Hoplitis lepeletieri,Unknown,"Global, Europe",Least Concern
animalia — insecta,,Ampedus quadrisignatus,Decreasing,"Global, Europe",Endangered
animalia — mammalia,Alpine Ibex,Capra ibex,Stable,"Global, Europe",Least Concern
animalia — insecta,Orange-spotted Emerald,Oxygastra curtisii,Stable,Global,Least Concern
animalia — bivalvia,Spengler's Freshwater Mussel,Pseudunio auricularius,Decreasing,"Global, Europe",Critically Endangered
animalia — gastropoda,,Bythiospeum dubium,Decreasing,"Global, Europe",Critically Endangered
animalia — insecta,,Hyles hippophaes,,Global,Data Deficient
animalia — insecta,,Nomada bluethgeni,Stable,"Global, Europe",Least Concern
animalia — gastropoda,Festschalige Brunnenschnecken,Bythiospeum putei,Unknown,"Global, Europe",Critically Endangered
animalia — gastropoda,Regnitz-Brunnenschnecke,Bythiospeum turritum,Unknown,"Global, Europe",Critically Endangered
animalia — insecta,,Microrhagus pyrenaeus,Unknown,"Global, Europe",Near Threatened
animalia — actinopterygii,,Salvelinus profundus,,"Global, Europe",Extinct
animalia — actinopterygii,Houting,Coregonus oxyrinchus,,"Global, Europe",Extinct
animalia — insecta,,Stelis franconica,Unknown,"Global, Europe",Data Deficient
animalia — actinopterygii,,Coregonus hoferi,Unknown,"Global, Europe",Critically Endangered
animalia — actinopterygii,,Coregonus gutturosus,,"Global, Europe",Extinct
animalia — gastropoda,,Vestia turgida,Stable,"Global, Europe",Least Concern
animalia — gastropoda,Degenfelder Brunnenschnecke,Bythiospeum gonostoma,Unknown,"Global, Europe",Critically Endangered
animalia — gastropoda,,Caucasotachea vindobonensis,Stable,"Global, Europe",Least Concern
animalia — insecta,,Hydropsyche tobiasi,,Global,Extinct
animalia — insecta,,Dytiscus latissimus,,Global,Vulnerable
animalia — insecta,,Lasioglossum breviventre,Decreasing,"Global, Europe",Endangered
