kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — actinopterygii,Adriatic sturgeon,Acipenser naccarii,Decreasing,"Global, Europe",Critically Endangered
animalia — actinopterygii,Stellate sturgeon,Acipenser stellatus,Decreasing,Global,Critically Endangered
animalia — insecta,Banded Darter,Sympetrum pedemontanum,Stable,Global,Least Concern
animalia — aves,Little Bustard,Tetrax tetrax,Decreasing,Global,Near Threatened
animalia — aves,Red Kite,Milvus milvus,Increasing,Global,Least Concern
animalia — gastropoda,,Islamia bendidis,Unknown,"Global, Europe, Mediterranean",Critically Endangered
animalia — gastropoda,,Graecoanatolica macedonica,,"Global, Europe, Mediterranean",Extinct
animalia — mammalia,Red Deer,Cervus elaphus,Increasing,Global,Least Concern
animalia — gastropoda,,Paladilhiopsis janinensis,Unknown,"Global, Europe, Mediterranean",Critically Endangered
animalia — gastropoda,,Vitrea storchi,,"Global, Europe",Extinct
animalia — gastropoda,,Zonites siphnicus,,"Global, Europe",Extinct
animalia — gastropoda,,Islamia graeca,Decreasing,"Global, Europe, Mediterranean",Critically Endangered
animalia — gastropoda,,Dianella schlickumi,Decreasing,"Global, Europe, Mediterranean",Critically Endangered
animalia — gastropoda,,Zonites santoriniensis,,"Global, Europe",Extinct
animalia — actinopterygii,Stone Loach,Barbatula barbatula,Unknown,"Global, Europe",Least Concern
animalia — gastropoda,,Islamia hadei,Unknown,"Global, Europe, Mediterranean",Critically Endangered
animalia — actinopterygii,Thracian Shad,Alosa vistonica,Unknown,"Global, Europe",Critically Endangered
