kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — insecta,,Lycaena ottomana,Decreasing,Global,Vulnerable
animalia — insecta,Fieber's Mountain Grasshopper,Pseudopodisma fieberi,Decreasing,"Global, Europe",Least Concern
animalia — insecta,Moorland Hawker,Aeshna juncea,Stable,Global,Least Concern
animalia — mammalia,Brown Bear,Ursus arctos,Stable,Global,Least Concern
animalia — actinopterygii,Beluga,Huso huso,Decreasing,Global,Critically Endangered
animalia — aves,Aquatic Warbler,Acrocephalus paludicola,Decreasing,Global,Vulnerable
animalia — insecta,Southern Barbed-wire Bush-cricket,Onconotus servillei,Unknown,Global,Least Concern
animalia — insecta,Bronze Glandular Bush-cricket,Bradyporus dasypus,Decreasing,"Global, Europe",Least Concern
animalia — mammalia,European Mink,Mustela lutreola,Decreasing,Global,Critically Endangered
animalia — mammalia,Eurasian Beaver,Castor fiber,Increasing,Global,Least Concern
animalia — aves,Great White Pelican,Pelecanus onocrotalus,Unknown,Global,Least Concern
animalia — aves,Little Bustard,Tetrax tetrax,Decreasing,Global,Near Threatened
animalia — aves,Black Grouse,Lyrurus tetrix,Decreasing,Global,Least Concern
animalia — aves,White-headed Duck,Oxyura leucocephala,Decreasing,Global,Endangered
animalia — insecta,,Coenagrion lunulatum,Decreasing,Global,Least Concern
animalia — actinopterygii,Pontian Shemaya,Alburnus sarmaticus,Unknown,"Global, Europe",Endangered
animalia — actinopterygii,Russian sturgeon,Acipenser gueldenstaedtii,Decreasing,Global,Critically Endangered
animalia — actinopterygii,,Alosa immaculata,Decreasing,Global,Vulnerable
animalia — mammalia,,Myotis schaubi,Unknown,Global,Data Deficient
animalia — insecta,,Dytiscus latissimus,,Global,Vulnerable
animalia — insecta,,Ammobates melectoides,Decreasing,"Global, Europe",Endangered
