kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — actinopterygii,Zodiac Loach,Nemacheilus triangularis,Stable,Global,Least Concern
animalia — actinopterygii,,Bodianus diana,Unknown,Global,Least Concern
animalia — actinopterygii,Three-spot Seahorse,Hippocampus trimaculatus,Decreasing,Global,Vulnerable
animalia — actinopterygii,Dusky Parrotfish,Scarus niger,Unknown,Global,Least Concern
animalia — actinopterygii,,Erethistoides senkhiensis,Unknown,Global,Data Deficient
animalia — actinopterygii,,Botia rostrata,Decreasing,Global,Vulnerable
animalia — actinopterygii,,Mystus vittatus,Decreasing,Global,Least Concern
animalia — actinopterygii,Eclipse Parrotfish,Scarus russelii,Unknown,Global,Least Concern
animalia — mammalia,Gee’s Golden Langur,Trachypithecus geei,Decreasing,Global,Endangered
animalia — amphibia,Resplendent Bush Frog,Raorchestes resplendens,Decreasing,Global,Critically Endangered
animalia — mammalia,Takin,Budorcas taxicolor,Decreasing,Global,Vulnerable
animalia — mammalia,Smooth-coated Otter,Lutrogale perspicillata,Decreasing,Global,Vulnerable
animalia — mammalia,Lesser Horseshoe Bat,Rhinolophus hipposideros,Decreasing,Global,Least Concern
animalia — actinopterygii,Indo-Pacific Tarpon,Megalops cyprinoides,Unknown,Global,Data Deficient
animalia — mammalia,Binturong,Arctictis binturong,Decreasing,Global,Vulnerable
animalia — actinopterygii,Spotted Seahorse,Hippocampus kuda,Decreasing,Global,Vulnerable
animalia — actinopterygii,Spotted Wrasse,Anampses meleagrides,Stable,Global,Least Concern
animalia — actinopterygii,Semicircle Angelfish,Pomacanthus semicirculatus,Stable,Global,Least Concern
animalia — reptilia,,Hemidactylus frenatus,Stable,Global,Least Concern
animalia — actinopterygii,,Oxycheilinus digramma,Unknown,Global,Least Concern
animalia — chondrichthyes,Bull Shark,Carcharhinus leucas,Unknown,Global,Near Threatened
animalia — chondrichthyes,Javanese Cownose Ray,Rhinoptera javanica,Unknown,Global,Vulnerable
animalia — actinopterygii,Alfonsino,Beryx decadactylus,Unknown,Global,Least Concern
animalia — reptilia,,Protobothrops mucrosquamatus,Unknown,Global,Least Concern
animalia — mammalia,Javan Rhinoceros,Rhinoceros sondaicus,Stable,Global,Critically Endangered
animalia — insecta,,Sympecma paedisca,Stable,Global,Least Concern
animalia — insecta,Southern Darter,Sympetrum meridionale,Stable,Global,Least Concern
animalia — reptilia,Reticulated Python,Malayopython reticulatus,Unknown,Global,Least Concern
animalia — mammalia,Lesser Noctule,Nyctalus leisleri,Unknown,Global,Least Concern
animalia — mammalia,Eld's Deer,Rucervus eldii,Decreasing,Global,Endangered
animalia — mammalia,Barasingha,Rucervus duvaucelii,Decreasing,Global,Vulnerable
animalia — cephalopoda,,Sepia latimanus,Unknown,Global,Data Deficient
animalia — actinopterygii,Barramundi,Lates calcarifer,Unknown,Global,Least Concern
animalia — gastropoda,,Conus tessulatus,Stable,Global,Least Concern
animalia — gastropoda,,Conus vexillum,Unknown,Global,Least Concern
animalia — gastropoda,,Conus canonicus,Unknown,Global,Least Concern
animalia — holothuroidea,,Thelenota ananas,Decreasing,Global,Endangered
animalia — actinopterygii,Banded Archerfish,Toxotes jaculatrix,Unknown,Global,Least Concern
animalia — actinopterygii,Papuan Toby,Canthigaster papua,Unknown,Global,Least Concern
animalia — actinopterygii,Elongate Surgeonfish,Acanthurus mata,Stable,Global,Least Concern
animalia — actinopterygii,Slender Unicornfish,Naso lopezi,Unknown,Global,Least Concern
animalia — actinopterygii,,Pseudolaguvia shawi,Unknown,Global,Least Concern
animalia — actinopterygii,Pennant Coral Fish,Heniochus acuminatus,Stable,Global,Least Concern
animalia — gastropoda,,Conus leopardus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus obscurus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus madagascariensis,Unknown,Global,Least Concern
animalia — gastropoda,Engraved Cone,Conus inscriptus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus longurionis,Unknown,Global,Least Concern
