kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — actinopterygii,,Bodianus diana,Unknown,Global,Least Concern
animalia — actinopterygii,Red Parrotfish,Scarus xanthopleura,Unknown,Global,Least Concern
animalia — actinopterygii,Three-spot Seahorse,Hippocampus trimaculatus,Decreasing,Global,Vulnerable
animalia — actinopterygii,Bullethead Parrotfish,Chlorurus spilurus,Unknown,Global,Least Concern
animalia — actinopterygii,Pacific Longnose Parrotfish,Hipposcarus longiceps,Unknown,Global,Least Concern
animalia — actinopterygii,Bleeker's Parrotfish,Chlorurus bleekeri,Unknown,Global,Least Concern
animalia — actinopterygii,Dusky Parrotfish,Scarus niger,Unknown,Global,Least Concern
animalia — actinopterygii,Rivulated Parrotfish,Scarus rivulatus,Unknown,Global,Least Concern
animalia — actinopterygii,Greensnout Parrotfish,Scarus spinus,Unknown,Global,Least Concern
animalia — actinopterygii,Eclipse Parrotfish,Scarus russelii,Unknown,Global,Least Concern
animalia — mammalia,Philippine Slow Loris,Nycticebus menagensis,Decreasing,Global,Vulnerable
animalia — mammalia,Smooth-coated Otter,Lutrogale perspicillata,Decreasing,Global,Vulnerable
animalia — mammalia,Waigeo Cuscus,Spilocuscus papuensis,Unknown,Global,Vulnerable
animalia — mammalia,Blue-eyed Spotted Cuscus,Spilocuscus wilsoni,Decreasing,Global,Critically Endangered
animalia — mammalia,Dingiso,Dendrolagus mbaiso,Decreasing,Global,Endangered
animalia — mammalia,Malay Tapir,Tapirus indicus,Decreasing,Global,Endangered
animalia — mammalia,Otter Civet,Cynogale bennettii,Decreasing,Global,Endangered
animalia — actinopterygii,Indo-Pacific Tarpon,Megalops cyprinoides,Unknown,Global,Data Deficient
animalia — mammalia,Binturong,Arctictis binturong,Decreasing,Global,Vulnerable
animalia — mammalia,Malay Civet,Viverra tangalunga,Stable,Global,Least Concern
animalia — mammalia,Lowland Anoa,Bubalus depressicornis,Decreasing,Global,Endangered
animalia — actinopterygii,Spotted Seahorse,Hippocampus kuda,Decreasing,Global,Vulnerable
animalia — actinopterygii,Spotted Wrasse,Anampses meleagrides,Stable,Global,Least Concern
animalia — actinopterygii,,Pterapogon kauderni,Decreasing,Global,Endangered
animalia — actinopterygii,Semicircle Angelfish,Pomacanthus semicirculatus,Stable,Global,Least Concern
animalia — reptilia,,Hemidactylus frenatus,Stable,Global,Least Concern
animalia — actinopterygii,,Coris gaimard,Stable,Global,Least Concern
animalia — actinopterygii,,Oxycheilinus digramma,Unknown,Global,Least Concern
animalia — chondrichthyes,Javanese Cownose Ray,Rhinoptera javanica,Unknown,Global,Vulnerable
animalia — reptilia,Carpet Python,Morelia spilota,Decreasing,Global,Least Concern
animalia — mammalia,Javan Rhinoceros,Rhinoceros sondaicus,Stable,Global,Critically Endangered
animalia — reptilia,Reticulated Python,Malayopython reticulatus,Unknown,Global,Least Concern
animalia — mammalia,Common Woolly Bat,Kerivoula hardwickii,Stable,Global,Least Concern
animalia — mammalia,Greater Northern Free-tailed Bat,Chaerephon jobensis,Stable,Global,Least Concern
animalia — mammalia,Prevost's Squirrel,Callosciurus prevostii,Decreasing,Global,Least Concern
animalia — cephalopoda,,Sepia latimanus,Unknown,Global,Data Deficient
animalia — gastropoda,,Conus tessulatus,Stable,Global,Least Concern
animalia — gastropoda,,Conus vexillum,Unknown,Global,Least Concern
animalia — gastropoda,,Conus canonicus,Unknown,Global,Least Concern
animalia — holothuroidea,,Thelenota ananas,Decreasing,Global,Endangered
animalia — actinopterygii,Papuan Toby,Canthigaster papua,Unknown,Global,Least Concern
animalia — actinopterygii,Yellowtail Sawtail,Prionurus chrysurus,Unknown,Global,Data Deficient
animalia — actinopterygii,Orange-socket Surgeonfish,Acanthurus auranticavus,Unknown,Global,Least Concern
animalia — actinopterygii,Elongate Surgeonfish,Acanthurus mata,Stable,Global,Least Concern
animalia — actinopterygii,Slender Unicornfish,Naso lopezi,Unknown,Global,Least Concern
animalia — amphibia,饰纹姬蛙,Microhyla fissipes,Stable,Global,Least Concern
animalia — actinopterygii,Pennant Coral Fish,Heniochus acuminatus,Stable,Global,Least Concern
animalia — malacostraca,Sculptured Mitten Lobster,Parribacus antarcticus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus leopardus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus oishii,Unknown,Global,Least Concern
animalia — gastropoda,,Conus obscurus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus granum,Unknown,Global,Least Concern
animalia — gastropoda,Engraved Cone,Conus inscriptus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus memiae,Unknown,Global,Least Concern
animalia — gastropoda,Bubble Cone,Conus bullatus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus textile,,Global,Least Concern
animalia — gastropoda,,Conus mustelinus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus boeticus,Unknown,Global,Least Concern
animalia — gastropoda,Supreme Cone,Conus monachus,Unknown,Global,Least Concern
animalia — actinopterygii,Mimic Surgeonfish,Acanthurus pyroferus,Stable,Global,Least Concern
animalia — reptilia,Malaysian Giant Turtle,Orlitia borneensis,Decreasing,Global,Critically Endangered
animalia — gastropoda,,Conus balteatus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus lividus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus wakayamaensis,Unknown,Global,Least Concern
animalia — gastropoda,,Conus suratensis,,Global,Least Concern
animalia — gastropoda,,Conus ebraeus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus gloriamaris,Unknown,Global,Least Concern
animalia — gastropoda,,Conus figulinus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus cervus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus achatinus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus stramineus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus shikamai,Unknown,Global,Least Concern
animalia — gastropoda,,Conus parius,Unknown,Global,Least Concern
animalia — gastropoda,,Conus striatellus,Unknown,Global,Least Concern
animalia — gastropoda,Marbled Cone,Conus marmoreus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus mitratus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus araneosus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus laterculatus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus bandanus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus virgo,Unknown,Global,Least Concern
animalia — gastropoda,Characteristic Cone,Conus caracteristicus,Unknown,Global,Least Concern
animalia — malacostraca,Bullseye Reef Lobster,Enoplometopus holthuisi,Unknown,Global,Data Deficient
animalia — mammalia,Melon-headed Whale,Peponocephala electra,Unknown,Global,Least Concern
animalia — actinopterygii,Investigator Pipefish,Cosmocampus investigatoris,Unknown,Global,Least Concern
animalia — reptilia,Crocodile Monitor,Varanus salvadorii,Unknown,Global,Least Concern
animalia — aves,Bornean Peacock-pheasant,Polyplectron schleiermacheri,Decreasing,Global,Endangered
animalia — amphibia,,Duttaphrynus melanostictus,Increasing,Global,Least Concern
animalia — aves,Spotted Redshank,Tringa erythropus,Stable,Global,Least Concern
animalia — aves,Marsh Sandpiper,Tringa stagnatilis,Decreasing,Global,Least Concern
animalia — actinopterygii,,Tominanga sanguicauda,Unknown,Global,Near Threatened
animalia — aves,Red-wattled Lapwing,Vanellus indicus,Unknown,Global,Least Concern
animalia — actinopterygii,Elongated Bristlemouth Fish,Gonostoma elongatum,Unknown,Global,Least Concern
animalia — actinopterygii,Bulbous Dreamer,Oneirodes eschrichtii,Unknown,Global,Least Concern
animalia — mammalia,Sulawesi Warty Pig,Sus celebensis,Decreasing,Global,Near Threatened
animalia — aves,Grey-faced Buzzard,Butastur indicus,Decreasing,Global,Least Concern
animalia — aves,Chinese Egret,Egretta eulophotes,Decreasing,Global,Vulnerable
animalia — aves,Australian Pelican,Pelecanus conspicillatus,Stable,Global,Least Concern
animalia — actinopterygii,,Hippocampus denise,Unknown,Global,Data Deficient
animalia — actinopterygii,Thorny Seahorse,Hippocampus histrix,Decreasing,Global,Vulnerable
animalia — actinopterygii,Reticulated Freshwater Pipefish,Hippichthys heptagonus,Unknown,Global,Least Concern
animalia — actinopterygii,Brown-banded Pipefish,Corythoichthys amplexus,Decreasing,Global,Least Concern
animalia — actinopterygii,Smooth Razorfish,Centriscus cristatus,Unknown,Global,Data Deficient
animalia — actinopterygii,Alligator Pipefish,Syngnathoides biaculeatus,Unknown,Global,Least Concern
animalia — insecta,Wandering Glider,Pantala flavescens,Stable,Global,Least Concern
animalia — aves,Salmon-crested Cockatoo,Cacatua moluccensis,Decreasing,Global,Vulnerable
animalia — aves,Salvadori's Fig-parrot,Psittaculirostris salvadorii,Decreasing,Global,Least Concern
animalia — aves,Nicobar Pigeon,Caloenas nicobarica,Decreasing,Global,Near Threatened
animalia — aves,Wetar Ground-dove,Alopecoenas hoedtii,Decreasing,Global,Endangered
animalia — aves,Red-naped Fruit-dove,Ptilinopus dohertyi,Decreasing,Global,Vulnerable
animalia — aves,Masked Finfoot,Heliopais personatus,Decreasing,Global,Endangered
animalia — amphibia,Schlegel's Frog,Chalcorana chalconota,Stable,Global,Least Concern
animalia — amphibia,Kina Balu Flying Frog,Rhacophorus angulirostris,Decreasing,Global,Near Threatened
animalia — amphibia,Java Indonesian Treefrog,Nyctixalus margaritifer,Decreasing,Global,Least Concern
animalia — amphibia,Celebes Toad,Ingerophrynus celebensis,Stable,Global,Least Concern
animalia — amphibia,,Huia cavitympanum,Decreasing,Global,Least Concern
animalia — amphibia,Malaya Wart Frog,Limnonectes macrodon,Decreasing,Global,Least Concern
animalia — actinopterygii,Camouflage Grouper,Epinephelus polyphekadion,Decreasing,Global,Vulnerable
animalia — aves,White-breasted Kingfisher,Halcyon smyrnensis,Increasing,Global,Least Concern
animalia — mammalia,Sunda Pangolin,Manis javanica,Decreasing,Global,Critically Endangered
animalia — mammalia,Bearded Pig,Sus barbatus,Decreasing,Global,Vulnerable
animalia — mammalia,Sun Bear,Helarctos malayanus,Decreasing,Global,Vulnerable
animalia — reptilia,Roti Snake-necked Turtle,Chelodina mccordi,Decreasing,Global,Critically Endangered
animalia — mammalia,Irrawaddy Dolphin,Orcaella brevirostris,Decreasing,Global,Endangered
animalia — actinopterygii,Halimeda Ghost Pipefish,Solenostomus halimeda,Decreasing,Global,Data Deficient
animalia — actinopterygii,Barred Shortbody Pipefish ,Choeroichthys cinctus,Decreasing,Global,Least Concern
animalia — actinopterygii,Glittering Pipefish,Halicampus nitidus,Decreasing,Global,Least Concern
animalia — actinopterygii,Tidepool Pipefish,Micrognathus micronotopterus,Decreasing,Global,Least Concern
animalia — aves,Chattering Lory,Lorius garrulus,Decreasing,Global,Vulnerable
animalia — mammalia,Tapanuli Orangutan,Pongo tapanuliensis,Decreasing,Global,Critically Endangered
animalia — aves,Lesser Adjutant,Leptoptilos javanicus,Decreasing,Global,Vulnerable
animalia — actinopterygii,Squaretail Coralgrouper,Plectropomus areolatus,Decreasing,Global,Vulnerable
animalia — aves,Magnificent Bird-of-paradise,Cicinnurus magnificus,Decreasing,Global,Least Concern
animalia — actinopterygii,Red Pipefish,Festucalex rufus,Unknown,Global,Data Deficient
animalia — aves,Papuan Eagle,Harpyopsis novaeguineae,Decreasing,Global,Vulnerable
animalia — malacostraca,Sulawesi Cardinal Shrimp [aquarium trade],Caridina dennerli,Decreasing,Global,Critically Endangered
animalia — aves,Javan Hawk-eagle,Nisaetus bartelsi,Decreasing,Global,Endangered
animalia — aves,White-winged Duck,Asarcornis scutulata,Decreasing,Global,Endangered
animalia — aves,Maleo,Macrocephalon maleo,Decreasing,Global,Endangered
animalia — aves,Flores Scops-owl,Otus alfredi,Decreasing,Global,Endangered
animalia — aves,Black Cuckoo-dove,Turacoena modesta,Decreasing,Global,Near Threatened
animalia — aves,Grey Wagtail,Motacilla cinerea,Stable,Global,Least Concern
animalia — actinopterygii,Naia Pipefish,Dunckerocampus naia,Unknown,Global,Least Concern
animalia — reptilia,Malayan Flat-shelled Turtle,Notochelys platynota,,Global,Vulnerable
animalia — reptilia,Black Marsh Turtle,Siebenrockiella crassicollis,,Global,Vulnerable
animalia — amphibia,Baram River Frog,Pulchrana baramica,Decreasing,Global,Least Concern
animalia — chondrichthyes,Grey Reef Shark,Carcharhinus amblyrhynchos,Decreasing,Global,Endangered
animalia — chondrichthyes,Spinetail Devil Ray,Mobula mobular,Decreasing,Global,Endangered
animalia — aves,Javan Lapwing,Vanellus macropterus,Decreasing,Global,Critically Endangered
animalia — reptilia,Asian Narrow-headed Softshell Turtle,Chitra chitra,Decreasing,Global,Critically Endangered
animalia — aves,Common Hill Myna,Gracula religiosa,Decreasing,Global,Least Concern
animalia — aves,Glossy Ibis,Plegadis falcinellus,Decreasing,Global,Least Concern
animalia — aves,Red-necked Phalarope,Phalaropus lobatus,Decreasing,Global,Least Concern
animalia — aves,Grey Heron,Ardea cinerea,Unknown,Global,Least Concern
animalia — aves,Bonelli's Eagle,Aquila fasciata,Decreasing,Global,Least Concern
animalia — aves,Greater Sandplover,Charadrius leschenaultii,Decreasing,Global,Least Concern
animalia — aves,Pied Imperial-pigeon,Ducula bicolor,Decreasing,Global,Least Concern
animalia — aves,Sumba Hornbill,Rhyticeros everetti,Decreasing,Global,Endangered
animalia — actinopterygii,Bristlemouth,Sigmops bathyphilus,Unknown,Global,Least Concern
animalia — actinopterygii,Sloane's Viperfish,Chauliodus sloani,Unknown,Global,Least Concern
animalia — actinopterygii,Bean's Sawtooth Eel,Serrivomer beanii,Unknown,Global,Least Concern
animalia — aves,Roseate Tern,Sterna dougallii,Unknown,Global,Least Concern
animalia — aves,Flores Hanging-parrot,Loriculus flosculus,Decreasing,Global,Vulnerable
animalia — mammalia,Cuvier's Beaked Whale,Ziphius cavirostris,Unknown,Global,Least Concern
animalia — mammalia,Striped Dolphin,Stenella coeruleoalba,Unknown,Global,Least Concern
animalia — aves,Lesser Crested Tern,Thalasseus bengalensis,Stable,Global,Least Concern
animalia — chondrichthyes,Megamouth Shark,Megachasma pelagios,Unknown,Global,Least Concern
animalia — mammalia,Tiger,Panthera tigris,Decreasing,Global,Endangered
animalia — insecta,,Phaloria insularis,,Global,Data Deficient
animalia — reptilia,Siamese Crocodile,Crocodylus siamensis,Decreasing,Global,Critically Endangered
