kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — insecta,Ornate Bluet,Coenagrion ornatum,Decreasing,Global,Least Concern
animalia — aves,Black Francolin,Francolinus francolinus,Stable,Global,Least Concern
animalia — actinopterygii,Adriatic sturgeon,Acipenser naccarii,Decreasing,"Global, Europe",Critically Endangered
animalia — actinopterygii,Atlantic sturgeon,Acipenser sturio,Decreasing,"Global, Europe",Critically Endangered
animalia — mammalia,Mediterranean Monk Seal,Monachus monachus,Increasing,Global,Endangered
animalia — mammalia,Eurasian Beaver,Castor fiber,Increasing,Global,Least Concern
animalia — aves,Cinereous Vulture,Aegypius monachus,Decreasing,Global,Near Threatened
animalia — insecta,Yellow-spotted Whiteface,Leucorrhinia pectoralis,Stable,Global,Least Concern
animalia — insecta,Eurasian Baskettail,Epitheca bimaculata,Stable,Global,Least Concern
animalia — aves,Bearded Vulture,Gypaetus barbatus,Decreasing,Global,Near Threatened
animalia — bivalvia,Spengler's Freshwater Mussel,Pseudunio auricularius,Decreasing,"Global, Europe",Critically Endangered
animalia — gastropoda,,Heleobia spinellii,Unknown,"Global, Europe, Mediterranean",Extinct
animalia — insecta,,Nomada concolor,Unknown,"Global, Europe",Least Concern
animalia — cephalaspidomorphi,River Lamprey,Lampetra fluviatilis,Unknown,"Global, Europe",Least Concern
animalia — gastropoda,,Sardohoratia sulcata,Unknown,"Global, Europe, Mediterranean",Critically Endangered
animalia — insecta,Spined Dwarf Mantis,Ameles fasciipennis,,"Global, Europe",Extinct
animalia — insecta,,Nomada siciliensis,Unknown,"Global, Europe",Critically Endangered
animalia — mammalia,Sardinian Pika,Prolagus sardus,,"Global, Europe, Mediterranean",Extinct
animalia — mammalia,Blasius's Horseshoe Bat,Rhinolophus blasii,Decreasing,Global,Least Concern
animalia — aves,Common Buttonquail,Turnix sylvaticus,Decreasing,Global,Least Concern
