kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — actinopterygii,Rock Gurnard,Trigloporus lastoviza,Unknown,Global,Least Concern
animalia — mammalia,Lesser Horseshoe Bat,Rhinolophus hipposideros,Decreasing,Global,Least Concern
animalia — actinopterygii,Couch's Goby,Gobius couchi,Unknown,"Global, Europe",Least Concern
animalia — actinopterygii,Leopard-spotted Goby,Thorogobius ephippiatus,Stable,"Global, Europe",Least Concern
animalia — chondrichthyes,Angular Roughshark,Oxynotus centrina,Unknown,Global,Vulnerable
animalia — actinopterygii,Red Scorpionfish,Scorpaena notata,Unknown,Global,Least Concern
animalia — actinopterygii,Piper,Trigla lyra,Unknown,Global,Least Concern
animalia — actinopterygii,Striped Seabream,Lithognathus mormyrus,Stable,Global,Least Concern
animalia — actinopterygii,Blennie Diabolo,Parablennius incognitus,Stable,Global,Least Concern
animalia — gastropoda,,Conus ventricosus,Unknown,Global,Least Concern
animalia — actinopterygii,Sharpsnout Seabream,Diplodus puntazzo,Unknown,Global,Least Concern
animalia — actinopterygii,,Gonostoma denudatum,Unknown,Global,Least Concern
animalia — aves,Stock Dove,Columba oenas,Increasing,Global,Least Concern
animalia — aves,Alpine Swift,Tachymarptis melba,Stable,Global,Least Concern
animalia — aves,Jack Snipe,Lymnocryptes minimus,Stable,Global,Least Concern
animalia — aves,Spotted Redshank,Tringa erythropus,Stable,Global,Least Concern
animalia — aves,Marsh Sandpiper,Tringa stagnatilis,Decreasing,Global,Least Concern
animalia — aves,Wood Warbler,Phylloscopus sibilatrix,Decreasing,Global,Least Concern
animalia — aves,Alpine Accentor,Prunella collaris,Stable,Global,Least Concern
animalia — aves,Eurasian Blackcap,Sylvia atricapilla,Increasing,Global,Least Concern
animalia — actinopterygii,Elongated Bristlemouth Fish,Gonostoma elongatum,Unknown,Global,Least Concern
animalia — actinopterygii,Painted Comber,Serranus scriba,Stable,Global,Least Concern
animalia — actinopterygii,White Seabream,Diplodus sargus,Unknown,Global,Least Concern
