kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — actinopterygii,Banded Allotoca,Allotoca goslinei,,Global,Extinct in the Wild
animalia — mammalia,Brown Bear,Ursus arctos,Stable,Global,Least Concern
animalia — aves,Imperial Woodpecker,Campephilus imperialis,Unknown,Global,Critically Endangered
animalia — chondrichthyes,Largetooth Sawfish,Pristis pristis,Decreasing,Global,Critically Endangered
animalia — actinopterygii,Golden Skiffia,Skiffia francesae,,Global,Extinct in the Wild
animalia — mammalia,Black-footed Ferret,Mustela nigripes,Decreasing,Global,Endangered
animalia — aves,California Condor,Gymnogyps californianus,Increasing,Global,Critically Endangered
animalia — actinopterygii,Tequila Splitfin,Zoogoneticus tequila,Increasing,Global,Endangered
animalia — actinopterygii,Parras Characodon,Characodon garmani,,Global,Extinct
animalia — mammalia,American Bison,Bison bison,Stable,Global,Near Threatened
animalia — aves,Socorro Dove,Zenaida graysoni,,Global,Extinct in the Wild
animalia — aves,Whooping Crane,Grus americana,Increasing,Global,Endangered
animalia — aves,Eskimo Curlew,Numenius borealis,Unknown,Global,Critically Endangered
animalia — actinopterygii,Charco Palma Pupfish,Cyprinodon veronicae,,Global,Extinct in the Wild
animalia — actinopterygii,Charco Azul Pupfish,Cyprinodon inmemoriam,,Global,Extinct
animalia — actinopterygii,Mexican Dace,Evarra tlahuacensis,,Global,Extinct
animalia — malacostraca,,Cambarellus alvarezi,Unknown,Global,Extinct
animalia — mammalia,Angel Island Mouse,Peromyscus guardia,Decreasing,Global,Critically Endangered
animalia — mammalia,Chiapan Climbing Rat,Tylomys bullaris,Decreasing,Global,Critically Endangered
animalia — amphibia,Oaxacan Fringe-limbed Treefrog,Ecnomiohyla echinata,Unknown,Global,Critically Endangered
animalia — amphibia,Sierra Juarez Treefrog,Sarcohyla sabrina,Decreasing,Global,Critically Endangered
animalia — amphibia,Atoyac Salamander,Bolitoglossa oaxacensis,Decreasing,Global,Endangered
animalia — amphibia,Puebla Frog,Lithobates pueblae,Unknown,Global,Critically Endangered
animalia — amphibia,Brown False Brook Salamander,Pseudoeurycea brunnata,Decreasing,Global,Critically Endangered
animalia — mammalia,Caribbean Monk Seal,Neomonachus tropicalis,,Global,Extinct
animalia — aves,Guadalupe Caracara,Caracara lutosa,,Global,Extinct
animalia — actinopterygii,Phantom Shiner,Notropis orca,,Global,Extinct
animalia — actinopterygii,Loach Minnow,Tiaroga cobitis,Decreasing,Global,Vulnerable
animalia — mammalia,Wapiti,Cervus canadensis,Increasing,Global,Least Concern
animalia — amphibia,Admirable False Brook Salamander,Aquiloeurycea praecellens,Decreasing,Global,Critically Endangered
animalia — malacostraca,,Procambarus paradoxus,Unknown,Global,Critically Endangered
animalia — actinopterygii,Mexican Dace,Evarra eigenmanni,,Global,Extinct
animalia — actinopterygii,Stumptooth Minnow,Stypodon signifer,,Global,Extinct
animalia — actinopterygii,Catarina Pupfish,Megupsilon aporus,,Global,Extinct
animalia — malacostraca,,Tehuana veracruzana,Unknown,Global,Critically Endangered
animalia — actinopterygii,Santa Cruz Pupfish,Cyprinodon arcuatus,,Global,Extinct
animalia — mammalia,Pemberton's Deer Mouse,Peromyscus pembertoni,,Global,Extinct
animalia — mammalia,Puebla Deer Mouse,Peromyscus mekisturus,Unknown,Global,Critically Endangered
animalia — amphibia,Blue-eyed Aquatic Treefrog,Sarcohyla cyanomma,Decreasing,Global,Critically Endangered
animalia — amphibia,Anita's False Brook Salamander,Pseudoeurycea anitae,Decreasing,Global,Critically Endangered
animalia — actinopterygii,Monterrey Platyfish,Xiphophorus couchianus,,Global,Extinct in the Wild
animalia — actinopterygii,Marbled Swordtail,Xiphophorus meyeri,,Global,Extinct in the Wild
animalia — mammalia,Nelson's Rice Rat,Oryzomys nelsoni,,Global,Extinct
animalia — actinopterygii,Alberca Silverside,Chirostoma bartoni,Decreasing,Global,Critically Endangered
animalia — malacostraca,,Cambarellus chihuahuae,Unknown,Global,Extinct
animalia — actinopterygii,Perrito de Potosi,Cyprinodon alvarezi,,Global,Extinct in the Wild
animalia — actinopterygii,Parras Pupfish,Cyprinodon latifasciatus,Unknown,Global,Critically Endangered
animalia — actinopterygii,La Palma Pupfish,Cyprinodon longidorsalis,,Global,Extinct in the Wild
animalia — actinopterygii,Salado Shiner,Notropis saladonis,,Global,Extinct
animalia — actinopterygii,Least Silverside,Chirostoma charari,Decreasing,Global,Critically Endangered
animalia — amphibia,Tlaloc's Leopard Frog,Lithobates tlaloci,Unknown,Global,Critically Endangered
animalia — amphibia,Speckled Treefrog,Sarcohyla psarosema,Decreasing,Global,Critically Endangered
animalia — amphibia,Voiceless Treefrog,Sarcohyla siopela,Decreasing,Global,Critically Endangered
animalia — amphibia,Claw-toothed Salamander,Pseudoeurycea unguidentis,Decreasing,Global,Critically Endangered
animalia — actinopterygii,Colorado Pikeminnow,Ptychocheilus lucius,Stable,Global,Vulnerable
animalia — aves,Guadalupe Storm-petrel,Hydrobates macrodactylus,Unknown,Global,Critically Endangered
animalia — actinopterygii,Graceful Priapella,Priapella bonita,Unknown,Global,Data Deficient
animalia — actinopterygii,Flannelmouth Sucker,Catostomus latipinnis,Decreasing,Global,Least Concern
animalia — actinopterygii,Mexican Dace,Evarra bustamantei,,Global,Extinct
animalia — actinopterygii,Ameca Shiner,Notropis amecae,,Global,Extinct in the Wild
animalia — actinopterygii,Durango Shiner,Notropis aulidion,,Global,Extinct
animalia — actinopterygii,,Cyprinodon spp.,,Global,Extinct
animalia — mammalia,San Quintin Kangaroo Rat,Dipodomys gravipes,Unknown,Global,Critically Endangered
animalia — chondrichthyes,Scalloped Bonnethead,Sphyrna corona,Decreasing,Global,Critically Endangered
animalia — actinopterygii,Razorback Sucker,Xyrauchen texanus,Decreasing,Global,Critically Endangered
animalia — actinopterygii,Boxer Pupfish,Cyprinodon simus,Unknown,Global,Near Threatened
animalia — actinopterygii,Villa Lopez Pupfish,Cyprinodon ceciliae,,Global,Extinct
animalia — malacostraca,,Cambarellus areolatus,Unknown,Global,Critically Endangered
animalia — actinopterygii,Cunning Silverside,Atherinella callida,,Global,Extinct
animalia — bivalvia,,Fusconaia mitchelli,Decreasing,Global,Critically Endangered
animalia — amphibia,Puebla Treefrog,Sarcohyla charadricola,Decreasing,Global,Critically Endangered
animalia — amphibia,Semiaquatic Treefrog,Sarcohyla pachyderma,Decreasing,Global,Critically Endangered
animalia — amphibia,Aquatic Salamander,Pseudoeurycea aquatica,Decreasing,Global,Critically Endangered
animalia — aves,Slender-billed Grackle,Quiscalus palustris,,Global,Extinct
animalia — actinopterygii,Presidio Trout,Oncorhynchus sp. nov. 'Presidio Trout',Unknown,Global,Data Deficient
animalia — actinopterygii,Bonytail,Gila elegans,Decreasing,Global,Critically Endangered
