kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — mammalia,Lesser Horseshoe Bat,Rhinolophus hipposideros,Decreasing,Global,Least Concern
animalia — mammalia,Western Barbastelle,Barbastella barbastellus,Decreasing,Global,Near Threatened
animalia — insecta,,Phengaris teleius,,Global,Near Threatened
animalia — chondrichthyes,Angelshark,Squatina squatina,Decreasing,"Global, Europe",Critically Endangered
animalia — mammalia,Brown Bear,Ursus arctos,Stable,Global,Least Concern
animalia — insecta,Pygmy Damselfly,Nehalennia speciosa,Decreasing,Global,Vulnerable
animalia — actinopterygii,Atlantic sturgeon,Acipenser sturio,Decreasing,"Global, Europe",Critically Endangered
animalia — mammalia,Wild Cat,Felis silvestris,Decreasing,Global,Least Concern
animalia — mammalia,European Mink,Mustela lutreola,Decreasing,Global,Critically Endangered
animalia — mammalia,Eurasian Beaver,Castor fiber,Increasing,Global,Least Concern
animalia — mammalia,Greater Horseshoe Bat,Rhinolophus ferrumequinum,Decreasing,Global,Least Concern
animalia — insecta,Eurasian Baskettail,Epitheca bimaculata,Stable,Global,Least Concern
animalia — aves,Lesser White-fronted Goose,Anser erythropus,Decreasing,Global,Vulnerable
animalia — insecta,Orange-spotted Emerald,Oxygastra curtisii,Stable,Global,Least Concern
animalia — bivalvia,Spengler's Freshwater Mussel,Pseudunio auricularius,Decreasing,"Global, Europe",Critically Endangered
animalia — insecta,Zwartbuikwespbij,Nomada errans,Decreasing,"Global, Europe",Near Threatened
animalia — actinopterygii,Houting,Coregonus oxyrinchus,,"Global, Europe",Extinct
animalia — insecta,Kalkgraslandwespbij,Nomada piccioliana,Decreasing,"Global, Europe",Least Concern
animalia — insecta,Zwarte wespbij,Nomada argentata,Decreasing,"Global, Europe",Near Threatened
animalia — insecta,,Dytiscus latissimus,,Global,Vulnerable
