kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — actinopterygii,Bullethead Parrotfish,Chlorurus spilurus,Unknown,Global,Least Concern
animalia — actinopterygii,Pacific Longnose Parrotfish,Hipposcarus longiceps,Unknown,Global,Least Concern
animalia — actinopterygii,Bleeker's Parrotfish,Chlorurus bleekeri,Unknown,Global,Least Concern
animalia — actinopterygii,Dusky Parrotfish,Scarus niger,Unknown,Global,Least Concern
animalia — actinopterygii,Rivulated Parrotfish,Scarus rivulatus,Unknown,Global,Least Concern
animalia — actinopterygii,Greensnout Parrotfish,Scarus spinus,Unknown,Global,Least Concern
animalia — actinopterygii,Indo-Pacific Tarpon,Megalops cyprinoides,Unknown,Global,Data Deficient
animalia — actinopterygii,Spotted Seahorse,Hippocampus kuda,Decreasing,Global,Vulnerable
animalia — actinopterygii,Semicircle Angelfish,Pomacanthus semicirculatus,Stable,Global,Least Concern
animalia — reptilia,Knob-headed Giant Gecko,Rhacodactylus auriculatus,Stable,Global,Least Concern
animalia — reptilia,,Lioscincus vivae,Unknown,Global,Critically Endangered
animalia — reptilia,Striped Gekko,Dierogekko nehoueensis,Decreasing,Global,Critically Endangered
animalia — reptilia,,Nannoscincus rankini,Unknown,Global,Vulnerable
animalia — reptilia,,Rhacodactylus leachianus,Stable,Global,Least Concern
animalia — reptilia,Northern Pale-hipped Skink,Celatiscincus similis,Unknown,Global,Endangered
animalia — reptilia,Orange-bellied Burrowing Skink,Simiscincus aurantiacus,Unknown,Global,Vulnerable
animalia — reptilia,New Caledonian Shore Skink,Cryptoblepharus novocaledonicus,Stable,Global,Least Concern
animalia — reptilia,Turtleheaded Sea Snake,Emydocephalus annulatus,Decreasing,Global,Least Concern
animalia — actinopterygii,,Coris gaimard,Stable,Global,Least Concern
animalia — actinopterygii,,Oxycheilinus digramma,Unknown,Global,Least Concern
animalia — chondrichthyes,Bull Shark,Carcharhinus leucas,Unknown,Global,Near Threatened
animalia — actinopterygii,Alfonsino,Beryx decadactylus,Unknown,Global,Least Concern
animalia — cephalopoda,,Sepia latimanus,Unknown,Global,Data Deficient
animalia — gastropoda,,Conus tessulatus,Stable,Global,Least Concern
animalia — gastropoda,,Conus vexillum,Unknown,Global,Least Concern
animalia — gastropoda,,Conus canonicus,Unknown,Global,Least Concern
animalia — holothuroidea,,Thelenota ananas,Decreasing,Global,Endangered
animalia — actinopterygii,Papuan Toby,Canthigaster papua,Unknown,Global,Least Concern
animalia — reptilia,,Candoia bibroni,Stable,Global,Least Concern
animalia — actinopterygii,Elongate Surgeonfish,Acanthurus mata,Stable,Global,Least Concern
animalia — actinopterygii,Slender Unicornfish,Naso lopezi,Unknown,Global,Least Concern
animalia — actinopterygii,Finelined Surgeonfish,Acanthurus grammoptilus,Unknown,Global,Least Concern
animalia — actinopterygii,Half-naked Hatchetfish,Argyropelecus hemigymnus,Stable,Global,Least Concern
animalia — actinopterygii,Pennant Coral Fish,Heniochus acuminatus,Stable,Global,Least Concern
animalia — malacostraca,Sculptured Mitten Lobster,Parribacus antarcticus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus leopardus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus armadillo,Unknown,Global,Least Concern
animalia — gastropoda,,Conus obscurus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus granum,Unknown,Global,Least Concern
animalia — gastropoda,,Conus kanakinus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus memiae,Unknown,Global,Least Concern
animalia — gastropoda,Bubble Cone,Conus bullatus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus textile,,Global,Least Concern
animalia — gastropoda,,Conus mustelinus,Unknown,Global,Least Concern
animalia — gastropoda,Supreme Cone,Conus monachus,Unknown,Global,Least Concern
animalia — actinopterygii,Mimic Surgeonfish,Acanthurus pyroferus,Stable,Global,Least Concern
animalia — actinopterygii,Yellowspotted Sawtail,Prionurus maculatus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus balteatus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus luciae,Unknown,Global,Least Concern
animalia — gastropoda,,Conus lividus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus suratensis,,Global,Least Concern
animalia — gastropoda,,Conus ebraeus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus dayriti,Unknown,Global,Least Concern
animalia — gastropoda,,Conus tribblei,Unknown,Global,Least Concern
animalia — gastropoda,,Conus figulinus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus cervus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus pergrandis,Unknown,Global,Least Concern
animalia — gastropoda,,Conus achatinus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus richeri,Unknown,Global,Data Deficient
animalia — gastropoda,,Conus parius,Unknown,Global,Least Concern
animalia — gastropoda,,Conus tirardi,Unknown,Global,Data Deficient
animalia — gastropoda,,Conus striatellus,Unknown,Global,Least Concern
animalia — gastropoda,Marbled Cone,Conus marmoreus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus mitratus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus bandanus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus virgo,Unknown,Global,Least Concern
animalia — actinopterygii,Clown Toado,Canthigaster callisterna,Unknown,Global,Least Concern
animalia — mammalia,Melon-headed Whale,Peponocephala electra,Unknown,Global,Least Concern
animalia — actinopterygii,Elongated Bristlemouth Fish,Gonostoma elongatum,Unknown,Global,Least Concern
animalia — actinopterygii,Smalleye Squaretail,Tetragonurus cuvieri,Stable,Global,Least Concern
animalia — actinopterygii,Thorny Seahorse,Hippocampus histrix,Decreasing,Global,Vulnerable
animalia — actinopterygii,Brown-banded Pipefish,Corythoichthys amplexus,Decreasing,Global,Least Concern
animalia — actinopterygii,Smooth Razorfish,Centriscus cristatus,Unknown,Global,Data Deficient
animalia — insecta,Wandering Glider,Pantala flavescens,Stable,Global,Least Concern
animalia — actinopterygii,Camouflage Grouper,Epinephelus polyphekadion,Decreasing,Global,Vulnerable
animalia — reptilia,Sarasin's Giant Gecko,Correlophus sarasinorum,Decreasing,Global,Vulnerable
