kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — aves,North Island Takahe,Porphyrio mantelli,,Global,Extinct
animalia — clitellata,,Octochaetus levis,Unknown,Global,Critically Endangered
animalia — clitellata,,Aporodrilus mortenseni,Decreasing,Global,Critically Endangered
animalia — aves,Laughing Owl,Sceloglaux albifacies,,Global,Extinct
animalia — aves,Dieffenbach's Rail,Hypotaenidia dieffenbachii,,Global,Extinct
animalia — aves,Stephens Island Rockwren,Traversia lyalli,,Global,Extinct
animalia — aves,South Island Piopio,Turnagra capensis,,Global,Extinct
animalia — insecta,,Mecodema punctellum,,Global,Extinct
animalia — mammalia,New Zealand Greater Short-tailed Bat,Mystacina robusta,Unknown,Global,Critically Endangered
animalia — aves,New Zealand Little Bittern,Ixobrychus novaezelandiae,,Global,Extinct
animalia — aves,Chatham Fernbird,Poodytes rufescens,,Global,Extinct
animalia — actinopterygii,New Zealand Grayling,Prototroctes oxyrhynchus,Unknown,Global,Extinct
animalia — aves,Huia,Heteralocha acutirostris,,Global,Extinct
animalia — aves,Hawkins's Rail,Diaphorapteryx hawkinsi,,Global,Extinct
animalia — aves,Finsch's Duck,Chenonetta finschi,,Global,Extinct
animalia — aves,New Zealand Quail ,Coturnix novaezelandiae,,Global,Extinct
animalia — aves,South Island Snipe,Coenocorypha iredalei,,Global,Extinct
animalia — aves,Chatham Rail,Cabalus modestus,,Global,Extinct
animalia — aves,North Island Piopio,Turnagra tanagra,,Global,Extinct
animalia — aves,North Island Snipe,Coenocorypha barrierensis,,Global,Extinct
animalia — clitellata,Schmarda's Worm,Tokea orthostichon,,Global,Extinct
animalia — aves,Hodgen's Waterhen,Tribonyx hodgenorum,,Global,Extinct
animalia — aves,Bushwren,Xenicus longipes,,Global,Extinct
animalia — clitellata,,Octochaetus microchaetus,Unknown,Global,Critically Endangered
animalia — aves,Chatham Bellbird,Anthornis melanocephala,,Global,Extinct
animalia — aves,Auckland Merganser,Mergus australis,,Global,Extinct
animalia — reptilia,Kawekaweau,Hoplodactylus delcourti,,Global,Extinct
animalia — aves,South Island Kokako,Callaeas cinereus,Decreasing,Global,Critically Endangered
