kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — insecta,de Prunner’s Ringlet,Erebia triaria,Stable,"Global, Europe",Least Concern
animalia — insecta,Baton Blue,Pseudophilotes baton,Decreasing,"Global, Europe",Least Concern
animalia — bivalvia,,Unio delphinus,Decreasing,"Global, Europe",Near Threatened
animalia — myxini,Atlantic Hagfish,Myxine glutinosa,Unknown,Global,Least Concern
animalia — gastropoda,Lapidary Snail,Helicigona lapicida,Stable,"Global, Europe",Least Concern
animalia — gastropoda,Moss Chrysalis Snail,Pupilla muscorum,Decreasing,"Global, Europe",Least Concern
animalia — insecta,,Clytus tropicus,Unknown,"Global, Europe",Least Concern
animalia — actinopterygii,Rock Gurnard,Trigloporus lastoviza,Unknown,Global,Least Concern
animalia — insecta,,Rosalia alpina,,Global,Vulnerable
animalia — mammalia,Lesser Horseshoe Bat,Rhinolophus hipposideros,Decreasing,Global,Least Concern
animalia — actinopterygii,Dealfish,Trachipterus arcticus,Unknown,Global,Least Concern
animalia — actinopterygii,Leopard-spotted Goby,Thorogobius ephippiatus,Stable,"Global, Europe",Least Concern
animalia — reptilia,,Natrix maura,Decreasing,Global,Least Concern
animalia — reptilia,,Podarcis carbonelli,Decreasing,"Global, Europe",Endangered
animalia — chondrichthyes,Angular Roughshark,Oxynotus centrina,Unknown,Global,Vulnerable
animalia — gastropoda,,Gittenbergeria turriplana,Unknown,"Global, Europe",Near Threatened
animalia — insecta,,Pyrgus cirsii,Decreasing,"Global, Europe",Vulnerable
animalia — actinopterygii,,Astronesthes gemmifer,Unknown,Global,Data Deficient
animalia — actinopterygii,Scaleless Dragonfish,Leptostomias gladiator,Unknown,Global,Least Concern
animalia — actinopterygii,,Chirostomias pliopterus,Unknown,Global,Least Concern
animalia — actinopterygii,Alfonsino,Beryx decadactylus,Unknown,Global,Least Concern
animalia — insecta,Variable Bluet,Coenagrion pulchellum,Stable,Global,Least Concern
animalia — insecta,Small Bluetail,Ischnura pumilio,Stable,Global,Least Concern
animalia — insecta,,Lestes macrostigma,Decreasing,Global,Least Concern
animalia — insecta,Broad-Bodied Chaser,Libellula depressa,Stable,Global,Least Concern
animalia — insecta,Southern Darter,Sympetrum meridionale,Stable,Global,Least Concern
animalia — actinopterygii,Red Scorpionfish,Scorpaena notata,Unknown,Global,Least Concern
animalia — actinopterygii,Piper,Trigla lyra,Unknown,Global,Least Concern
animalia — actinopterygii,Risso's Smooth-head,Alepocephalus rostratus,Stable,Global,Least Concern
animalia — insecta,,Hipparchia azorina,Decreasing,"Global, Europe",Least Concern
animalia — actinopterygii,Black-faced Blenny,Tripterygion delaisi,Stable,Global,Least Concern
animalia — mammalia,Soprano Pipistrelle,Pipistrellus pygmaeus,Unknown,Global,Least Concern
animalia — mammalia,Lesser Noctule,Nyctalus leisleri,Unknown,Global,Least Concern
animalia — mammalia,Western Barbastelle,Barbastella barbastellus,Decreasing,Global,Near Threatened
animalia — actinopterygii,Striped Seabream,Lithognathus mormyrus,Stable,Global,Least Concern
animalia — actinopterygii,Blennie Diabolo,Parablennius incognitus,Stable,Global,Least Concern
animalia — actinopterygii,Fangtooth Moray,Enchelycore anatina,Unknown,Global,Least Concern
animalia — actinopterygii,Western ruivaco,Achondrostoma occidentale,Unknown,"Global, Europe",Endangered
animalia — actinopterygii,Half-naked Hatchetfish,Argyropelecus hemigymnus,Stable,Global,Least Concern
animalia — amphibia,European Tree Frog,Hyla arborea,Decreasing,Global,Least Concern
animalia — reptilia,,Lacerta schreiberi,Decreasing,"Global, Europe",Near Threatened
animalia — actinopterygii,Sharpsnout Seabream,Diplodus puntazzo,Unknown,Global,Least Concern
animalia — actinopterygii,,Gonostoma denudatum,Unknown,Global,Least Concern
animalia — actinopterygii,Black Scabbardfish,Aphanopus carbo,Unknown,Global,Least Concern
animalia — mammalia,Sowerby's Beaked Whale,Mesoplodon bidens,Unknown,Global,Least Concern
animalia — aves,Stock Dove,Columba oenas,Increasing,Global,Least Concern
animalia — aves,Alpine Swift,Tachymarptis melba,Stable,Global,Least Concern
animalia — reptilia,Western Three-toed Skink,Chalcides striatus,Decreasing,"Global, Europe",Least Concern
animalia — amphibia,Natterjack Toad,Epidalea calamita,Decreasing,"Global, Europe",Least Concern
animalia — aves,Jack Snipe,Lymnocryptes minimus,Stable,Global,Least Concern
animalia — aves,Spotted Redshank,Tringa erythropus,Stable,Global,Least Concern
animalia — amphibia,Common Midwife Toad,Alytes obstetricans,Decreasing,"Global, Europe",Least Concern
animalia — aves,Alpine Accentor,Prunella collaris,Stable,Global,Least Concern
animalia — aves,Eurasian Blackcap,Sylvia atricapilla,Increasing,Global,Least Concern
animalia — aves,Parrot Crossbill,Loxia pytyopsittacus,Stable,Global,Least Concern
animalia — aves,Yellowhammer,Emberiza citrinella,Decreasing,Global,Least Concern
animalia — amphibia,,Pelophylax perezi,Decreasing,"Global, Europe",Least Concern
animalia — actinopterygii,Elongated Bristlemouth Fish,Gonostoma elongatum,Unknown,Global,Least Concern
animalia — actinopterygii,Painted Comber,Serranus scriba,Stable,Global,Least Concern
animalia — actinopterygii,Smalleye Squaretail,Tetragonurus cuvieri,Stable,Global,Least Concern
animalia — actinopterygii,White Seabream,Diplodus sargus,Unknown,Global,Least Concern
animalia — actinopterygii,Bulbous Dreamer,Oneirodes eschrichtii,Unknown,Global,Least Concern
animalia — insecta,Madeira Pincer Grasshopper,Calliptamus madeirae,Unknown,"Global, Europe",Least Concern
animalia — insecta,Iberian Band-winged Grasshopper,Oedipoda coerulea,Unknown,"Global, Europe",Least Concern
animalia — insecta,Azure Sand Grasshopper,Sphingonotus azurescens,Unknown,"Global, Europe",Least Concern
animalia — arachnida,,Lasaeola oceanica,Stable,Global,Least Concern
animalia — arachnida,,Acorigone zebraneus,Decreasing,Global,Critically Endangered
animalia — arachnida,,Porrhomma borgesi,Decreasing,Global,Vulnerable
animalia — chondrichthyes,Shagreen Skate,Leucoraja fullonica,Decreasing,"Global, Europe",Vulnerable
animalia — actinopterygii,Fanfre Noir,Grammonus ater,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — actinopterygii,Long-snouted Seahorse,Hippocampus guttulatus,Unknown,Global,Data Deficient
animalia — insecta,Iberian Straw Grasshopper,Euchorthippus chopardi,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — insecta,Moorland Hawker,Aeshna juncea,Stable,Global,Least Concern
animalia — insecta,Ayres' Stone Grasshopper,Eumigus ayresi,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — aves,Common Crane,Grus grus,Increasing,Global,Least Concern
animalia — aves,Eurasian Bittern,Botaurus stellaris,Decreasing,Global,Least Concern
animalia — actinopterygii,Reticulated Dragonet,Callionymus reticulatus,Stable,"Global, Europe",Least Concern
animalia — actinopterygii,Black Goby,Gobius niger,Stable,Global,Least Concern
animalia — insecta,Aetherie Fritillary,Melitaea aetherie,Decreasing,"Global, Mediterranean",Least Concern
animalia — actinopterygii,Silvery Lightfish,Maurolicus muelleri,Unknown,Global,Least Concern
animalia — insecta,Ground beetle,Calathus lundbladi,Decreasing,Global,Critically Endangered
animalia — insecta,Ground beetle,Thalassophilus azoricus,Decreasing,Global,Critically Endangered
animalia — insecta,Azorean predacious diving beetle,Agabus godmanni,Decreasing,Global,Endangered
animalia — insecta,,Tinea poecilella,Unknown,Global,Critically Endangered
animalia — mammalia,Eurasian Pygmy Shrew,Sorex minutus,Stable,Global,Least Concern
animalia — aves,Dartford Warbler,Sylvia undata,Decreasing,Global,Near Threatened
animalia — aves,Common Grasshopper-warbler,Locustella naevia,Stable,Global,Least Concern
animalia — aves,Woodchat Shrike,Lanius senator,Decreasing,Global,Least Concern
animalia — aves,Rook,Corvus frugilegus,Decreasing,Global,Least Concern
animalia — aves,Iberian Grey Shrike,Lanius meridionalis,Decreasing,Global,Vulnerable
animalia — aves,Plain Swift,Apus unicolor,Unknown,Global,Least Concern
animalia — chondrichthyes,Rabbitfish,Chimaera monstrosa,Decreasing,Global,Vulnerable
animalia — aves,Carrion Crow,Corvus corone,Increasing,Global,Least Concern
animalia — branchiopoda,Tadpole shrimp,Triops baeticus,Unknown,"Global, Europe, Mediterranean",Endangered
animalia — gastropoda,,Hystricella echinulata,Decreasing,"Global, Europe",Endangered
animalia — actinopterygii,Dusky Grouper,Epinephelus marginatus,Decreasing,Global,Vulnerable
animalia — aves,Scopoli's Shearwater,Calonectris diomedea,Decreasing,Global,Least Concern
animalia — arachnida,,Pseudoblothrus oromii,Decreasing,Global,Critically Endangered
animalia — mammalia,Brown Bear,Ursus arctos,Stable,Global,Least Concern
animalia — chondrichthyes,Thornback Skate,Raja clavata,Decreasing,Global,Near Threatened
animalia — aves,Common Kestrel,Falco tinnunculus,Decreasing,Global,Least Concern
animalia — insecta,Cangas Mountain Bush-cricket,Antaxius florezi,Unknown,"Global, Europe",Least Concern
animalia — insecta,Iberian Mountain Bush-cricket,Antaxius spinibrachius,Unknown,"Global, Europe",Least Concern
animalia — insecta,Ana-Paula's Saddle Bush-cricket,Lluciapomaresius anapaulae,Decreasing,"Global, Europe, Mediterranean",Near Threatened
animalia — insecta,Asturian Saddle Bush-cricket,Lluciapomaresius asturiensis,Unknown,"Global, Europe",Least Concern
animalia — insecta,Nobre's Saddle Bush-cricket,Lluciapomaresius nobrei,Unknown,"Global, Europe",Data Deficient
animalia — insecta,Madeiran Steppe Bush-cricket,Montana barretii,Increasing,"Global, Europe",Least Concern
animalia — insecta,Lusitanian Bush-cricket,Pterolepis lusitanica,Unknown,"Global, Europe, Mediterranean",Least Concern
animalia — aves,Ortolan Bunting,Emberiza hortulana,Decreasing,Global,Least Concern
animalia — aves,Grey Wagtail,Motacilla cinerea,Stable,Global,Least Concern
animalia — aves,Black Stork,Ciconia nigra,Unknown,Global,Least Concern
animalia — aves,Common Nightingale,Luscinia megarhynchos,Stable,Global,Least Concern
animalia — insecta,Epaulet Skimmer,Orthetrum chrysostigma,Stable,Global,Least Concern
animalia — insecta,Long Skimmer,Orthetrum trinacria,Unknown,Global,Least Concern
animalia — insecta,Violet Dropwing,Trithemis annulata,Increasing,Global,Least Concern
animalia — insecta,Banded Groundling,Brachythemis impartita,Unknown,Global,Least Concern
animalia — insecta,,Stictoleptura trisignata,Stable,"Global, Europe",Near Threatened
animalia — insecta,,Coelometopus clypeatus,Stable,"Global, Europe",Least Concern
animalia — aves,Great Spotted Woodpecker,Dendrocopos major,Increasing,Global,Least Concern
animalia — aves,Black-bellied Sandgrouse,Pterocles orientalis,Decreasing,Global,Least Concern
animalia — aves,Black Francolin,Francolinus francolinus,Stable,Global,Least Concern
animalia — aves,Northern Long-eared Owl,Asio otus,Decreasing,Global,Least Concern
animalia — aves,Lesser Kestrel,Falco naumanni,Stable,Global,Least Concern
animalia — aves,Eurasian Jackdaw,Corvus monedula,Stable,Global,Least Concern
animalia — aves,White-throated Dipper,Cinclus cinclus,Decreasing,Global,Least Concern
animalia — aves,European Pied Flycatcher,Ficedula hypoleuca,Decreasing,Global,Least Concern
animalia — aves,Meadow Pipit,Anthus pratensis,Decreasing,Global,Near Threatened
animalia — chondrichthyes,Spinetail Devil Ray,Mobula mobular,Decreasing,Global,Endangered
animalia — aves,Black Redstart,Phoenicurus ochruros,Increasing,Global,Least Concern
animalia — aves,Common Whitethroat,Sylvia communis,Increasing,Global,Least Concern
animalia — aves,Red-billed Tropicbird,Phaethon aethereus,Decreasing,Global,Least Concern
