kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — aves,Lesser Kestrel,Falco naumanni,Stable,Global,Least Concern
animalia — actinopterygii,Beluga,Huso huso,Decreasing,Global,Critically Endangered
animalia — aves,Aquatic Warbler,Acrocephalus paludicola,Decreasing,Global,Vulnerable
animalia — mammalia,European Mink,Mustela lutreola,Decreasing,Global,Critically Endangered
animalia — mammalia,Eurasian Beaver,Castor fiber,Increasing,Global,Least Concern
animalia — mammalia,European Bison,Bison bonasus,Increasing,Global,Near Threatened
animalia — aves,Little Bustard,Tetrax tetrax,Decreasing,Global,Near Threatened
animalia — insecta,,Coenagrion lunulatum,Decreasing,Global,Least Concern
animalia — gastropoda,Striped Nerite,Theodoxus transversalis,Unknown,"Global, Europe",Endangered
animalia — insecta,,Dytiscus latissimus,,Global,Vulnerable
