kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — actinopterygii,,Bodianus diana,Unknown,Global,Least Concern
animalia — actinopterygii,Dusky Parrotfish,Scarus niger,Unknown,Global,Least Concern
animalia — amphibia,Horstock's Reed Frog,Hyperolius horstockii,Unknown,Global,Least Concern
animalia — actinopterygii,Eclipse Parrotfish,Scarus russelii,Unknown,Global,Least Concern
animalia — actinopterygii,Rock Gurnard,Trigloporus lastoviza,Unknown,Global,Least Concern
animalia — actinopterygii,Indo-Pacific Tarpon,Megalops cyprinoides,Unknown,Global,Data Deficient
animalia — actinopterygii,Hyphen Barb,Enteromius bifrenatus,Stable,"Global, Pan-Africa",Least Concern
animalia — actinopterygii,Line-spotted Barb,Enteromius lineomaculatus,Unknown,"Global, Pan-Africa",Least Concern
animalia — mammalia,Banded Mongoose,Mungos mungo,Stable,Global,Least Concern
animalia — mammalia,Karoo Round-eared Sengi,Macroscelides proboscideus,Stable,Global,Least Concern
animalia — actinopterygii,Spotted Seahorse,Hippocampus kuda,Decreasing,Global,Vulnerable
animalia — actinopterygii,Spotted Wrasse,Anampses meleagrides,Stable,Global,Least Concern
animalia — chondrichthyes,Angular Roughshark,Oxynotus centrina,Unknown,Global,Vulnerable
animalia — actinopterygii,Semicircle Angelfish,Pomacanthus semicirculatus,Stable,Global,Least Concern
animalia — actinopterygii,,Oxycheilinus digramma,Unknown,Global,Least Concern
animalia — chondrichthyes,Bull Shark,Carcharhinus leucas,Unknown,Global,Near Threatened
animalia — chondrichthyes,Javanese Cownose Ray,Rhinoptera javanica,Unknown,Global,Vulnerable
animalia — insecta,Zambezi Siphontail,Neurogomphus zambeziensis,Unknown,"Global, Pan-Africa",Least Concern
animalia — actinopterygii,Scaleless Dragonfish,Leptostomias gladiator,Unknown,Global,Least Concern
animalia — actinopterygii,Alfonsino,Beryx decadactylus,Unknown,Global,Least Concern
animalia — amphibia,Rose’s Mountain Toadlet ,Capensibufo rosei,Unknown,Global,Critically Endangered
animalia — gastropoda,,Conus vexillum,Unknown,Global,Least Concern
animalia — holothuroidea,,Thelenota ananas,Decreasing,Global,Endangered
animalia — actinopterygii,Striped Seabream,Lithognathus mormyrus,Stable,Global,Least Concern
animalia — reptilia,Common African Flap-necked Chameleon,Chamaeleo dilepis,Stable,Global,Least Concern
animalia — actinopterygii,Elongate Surgeonfish,Acanthurus mata,Stable,Global,Least Concern
animalia — actinopterygii,Half-naked Hatchetfish,Argyropelecus hemigymnus,Stable,Global,Least Concern
animalia — actinopterygii,Pennant Coral Fish,Heniochus acuminatus,Stable,Global,Least Concern
animalia — malacostraca,Sculptured Mitten Lobster,Parribacus antarcticus,Unknown,Global,Least Concern
animalia — gastropoda,Engraved Cone,Conus inscriptus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus visagenus,Unknown,Global,Least Concern
animalia — amphibia,,Anhydrophryne rattrayi,Unknown,Global,Vulnerable
animalia — gastropoda,,Conus wakayamaensis,Unknown,Global,Least Concern
animalia — gastropoda,,Conus striatellus,Unknown,Global,Least Concern
animalia — actinopterygii,Red Stumpnose Seabream,Chrysoblephus gibbiceps,Decreasing,Global,Endangered
animalia — mammalia,Melon-headed Whale,Peponocephala electra,Unknown,Global,Least Concern
animalia — actinopterygii,,Gonostoma denudatum,Unknown,Global,Least Concern
animalia — aves,Alpine Swift,Tachymarptis melba,Stable,Global,Least Concern
animalia — aves,Marsh Sandpiper,Tringa stagnatilis,Decreasing,Global,Least Concern
animalia — aves,Red-knobbed Coot,Fulica cristata,Decreasing,Global,Least Concern
animalia — actinopterygii,Elongated Bristlemouth Fish,Gonostoma elongatum,Unknown,Global,Least Concern
animalia — actinopterygii,Smalleye Squaretail,Tetragonurus cuvieri,Stable,Global,Least Concern
animalia — actinopterygii,Bulbous Dreamer,Oneirodes eschrichtii,Unknown,Global,Least Concern
animalia — insecta,Long-legged Armoured Katydid,Acanthoplus longipes,Unknown,Global,Least Concern
animalia — insecta,Cape Flightless Katydid,Austrodontura capensis,Unknown,Global,Least Concern
animalia — insecta,Wilson's Winter Katydid,Brinckiella wilsoni,Unknown,Global,Least Concern
animalia — insecta,Common Restio Katydid,Conocephalus montana,Unknown,Global,Least Concern
animalia — insecta,Black-spotted Plangia,Plangia compressa,Unknown,Global,Least Concern
animalia — insecta,Lace-winged Katydid,Pseudosaga maculata,Unknown,Global,Least Concern
animalia — insecta,Tsitsikamma Katydid,Zitsikama tessellata,Unknown,Global,Least Concern
animalia — aves,Marabou,Leptoptilos crumenifer,Increasing,Global,Least Concern
animalia — actinopterygii,Thorny Seahorse,Hippocampus histrix,Decreasing,Global,Vulnerable
animalia — insecta,Kristin's False Shieldback,Acilacris kristinae,Unknown,Global,Critically Endangered
animalia — insecta,Black-spotted False Shieldback,Aroegas nigroornatus,Unknown,Global,Critically Endangered
animalia — insecta,Duplessis' Agile Katydid,Griffiniana duplessisae,Unknown,Global,Critically Endangered
animalia — insecta,Serrated Winter Katydid,Brinckiella serricauda,Unknown,Global,Data Deficient
animalia — insecta,Elegant Sylvan Katydid,Acauloplax exigua,Unknown,Global,Least Concern
animalia — actinopterygii,Reticulated Freshwater Pipefish,Hippichthys heptagonus,Unknown,Global,Least Concern
animalia — actinopterygii,Banded bellows fish ,Centriscops humerosus,Unknown,Global,Least Concern
animalia — actinopterygii,Alligator Pipefish,Syngnathoides biaculeatus,Unknown,Global,Least Concern
animalia — insecta,Wandering Glider,Pantala flavescens,Stable,Global,Least Concern
animalia — actinopterygii,Elegant Pipefish,Nannocampus elegans,Unknown,Global,Least Concern
animalia — aves,White-bellied Bustard,Eupodotis senegalensis,Decreasing,Global,Least Concern
animalia — aves,Eurasian Bittern,Botaurus stellaris,Decreasing,Global,Least Concern
animalia — insecta,Zlobin's Meadow Katydid,Conocephalus zlobini,Unknown,Global,Vulnerable
animalia — insecta,Orange-winged Dropwing,Trithemis kirbyi,Increasing,Global,Least Concern
animalia — mammalia,Natal Red Duiker,Cephalophus natalensis,Decreasing,Global,Least Concern
animalia — mammalia,Roan Antelope,Hippotragus equinus,Decreasing,Global,Least Concern
animalia — mammalia,Common Duiker,Sylvicapra grimmia,Decreasing,Global,Least Concern
animalia — mammalia,Desert Warthog,Phacochoerus aethiopicus,Decreasing,Global,Least Concern
animalia — actinopterygii,Blunt-toothed African Catfish,Clarias ngamensis,Unknown,"Global, Pan-Africa",Least Concern
animalia — aves,African Comb Duck,Sarkidiornis melanotos,Decreasing,Global,Least Concern
animalia — reptilia,Parrot-beaked Dwarf Tortoise,Homopus areolatus,Decreasing,Global,Least Concern
animalia — insecta,Bladder grasshopper,Pneumora inanis,Decreasing,Global,Near Threatened
animalia — mammalia,Caracal,Caracal caracal,Unknown,Global,Least Concern
animalia — chondrichthyes,Ornate Sleeper Ray,Electrolux addisoni,Unknown,Global,Least Concern
animalia — actinopterygii,Reef Pipefish,Nannocampus pictus,Decreasing,Global,Least Concern
animalia — actinopterygii,Robust Ghost Pipefish,Solenostomus cyanopterus,Unknown,Global,Least Concern
animalia — reptilia,Tent Tortoise,Psammobates tentorius,Decreasing,Global,Near Threatened
animalia — reptilia,Cape Sand Snake,Psammophis leightoni,Stable,Global,Least Concern
animalia — actinopterygii,Dusky Grouper,Epinephelus marginatus,Decreasing,Global,Vulnerable
animalia — aves,Scopoli's Shearwater,Calonectris diomedea,Decreasing,Global,Least Concern
animalia — aves,White-backed Vulture,Gyps africanus,Decreasing,Global,Critically Endangered
animalia — aves,Silvery-cheeked Hornbill,Bycanistes brevis,Decreasing,Global,Least Concern
animalia — aves,Common Kestrel,Falco tinnunculus,Decreasing,Global,Least Concern
animalia — insecta,Basking Malachite,Chlorolestes apricans,Decreasing,"Global, Pan-Africa, S. Africa FW",Endangered
animalia — amphibia,Western Leopard Toad,Sclerophrys pantherina,Unknown,Global,Endangered
animalia — amphibia,Bilbo's Rain Frog,Breviceps bagginsi,Unknown,Global,Near Threatened
animalia — amphibia,Amathole Toad,Vandijkophrynus amatolicus,Decreasing,Global,Critically Endangered
animalia — aves,River Warbler,Locustella fluviatilis,Decreasing,Global,Least Concern
animalia — aves,Black Stork,Ciconia nigra,Unknown,Global,Least Concern
animalia — insecta,Epaulet Skimmer,Orthetrum chrysostigma,Stable,Global,Least Concern
animalia — insecta,Long Skimmer,Orthetrum trinacria,Unknown,Global,Least Concern
animalia — insecta,Violet Dropwing,Trithemis annulata,Increasing,Global,Least Concern
animalia — insecta,Red-veined Dropwing,Trithemis arteriosa,Stable,Global,Least Concern
animalia — aves,Lesser Kestrel,Falco naumanni,Stable,Global,Least Concern
animalia — aves,Village Weaver,Ploceus cucullatus,Stable,Global,Least Concern
animalia — chondrichthyes,Grey Reef Shark,Carcharhinus amblyrhynchos,Decreasing,Global,Endangered
animalia — insecta,Flat-necked Shieldback,Arytropteris basalis,Unknown,Global,Vulnerable
animalia — chondrichthyes,Spinetail Devil Ray,Mobula mobular,Decreasing,Global,Endangered
animalia — aves,Marsh Warbler,Acrocephalus palustris,Stable,Global,Least Concern
animalia — aves,Common Whitethroat,Sylvia communis,Increasing,Global,Least Concern
animalia — chondrichthyes,Largetooth Sawfish,Pristis pristis,Decreasing,Global,Critically Endangered
animalia — aves,European Bee-eater,Merops apiaster,Stable,Global,Least Concern
animalia — aves,Glossy Ibis,Plegadis falcinellus,Decreasing,Global,Least Concern
animalia — aves,Lappet-faced Vulture,Torgos tracheliotos,Decreasing,Global,Endangered
animalia — aves,Grey Heron,Ardea cinerea,Unknown,Global,Least Concern
animalia — aves,Greater Sandplover,Charadrius leschenaultii,Decreasing,Global,Least Concern
animalia — aves,Southern Rockhopper Penguin,Eudyptes chrysocome,Decreasing,Global,Vulnerable
animalia — actinopterygii,Electric Lantern Fish,Electrona risso,Unknown,Global,Least Concern
animalia — actinopterygii,Spotted Barracudina,Arctozenus risso,Unknown,Global,Least Concern
animalia — actinopterygii,Bristlemouth,Sigmops bathyphilus,Unknown,Global,Least Concern
animalia — mammalia,Greater Kudu,Tragelaphus strepsiceros,Stable,Global,Least Concern
animalia — insecta,Karkloof Blue,Orachrysops ariadne,Stable,Global,Endangered
animalia — actinopterygii,Sloane's Viperfish,Chauliodus sloani,Unknown,Global,Least Concern
animalia — aves,Sabine's Gull,Xema sabini,Stable,Global,Least Concern
animalia — actinopterygii,Bean's Sawtooth Eel,Serrivomer beanii,Unknown,Global,Least Concern
animalia — aves,Roseate Tern,Sterna dougallii,Unknown,Global,Least Concern
animalia — aves,Red Phalarope,Phalaropus fulicarius,Unknown,Global,Least Concern
animalia — aves,Secretarybird,Sagittarius serpentarius,Decreasing,Global,Endangered
animalia — mammalia,Cuvier's Beaked Whale,Ziphius cavirostris,Unknown,Global,Least Concern
animalia — mammalia,Striped Dolphin,Stenella coeruleoalba,Unknown,Global,Least Concern
animalia — aves,Arctic Tern,Sterna paradisaea,Decreasing,Global,Least Concern
animalia — aves,Lesser Crested Tern,Thalasseus bengalensis,Stable,Global,Least Concern
animalia — chondrichthyes,Megamouth Shark,Megachasma pelagios,Unknown,Global,Least Concern
animalia — aves,Black-necked Grebe,Podiceps nigricollis,Unknown,Global,Least Concern
animalia — chondrichthyes,Great Hammerhead,Sphyrna mokarran,Decreasing,Global,Critically Endangered
animalia — anthozoa,,Anomastraea irregularis,Decreasing,Global,Vulnerable
animalia — chondrichthyes,Great Torpedo Ray,Tetronarce nobiliana,Unknown,Global,Data Deficient
animalia — actinopterygii,Ringtail Surgeonfish,Acanthurus blochii,Stable,Global,Least Concern
animalia — actinopterygii,Bluespine Unicornfish,Naso unicornis,Unknown,Global,Least Concern
animalia — actinopterygii,Yellowfin Surgeonfish,Acanthurus xanthopterus,Stable,Global,Least Concern
animalia — actinopterygii,Doubleband Surgeonfish,Acanthurus tennentii,Stable,Global,Least Concern
animalia — actinopterygii,Lined Surgeonfish,Acanthurus lineatus,Stable,Global,Least Concern
animalia — actinopterygii,Palefin Unicornfish,Naso brevirostris,Stable,Global,Least Concern
animalia — gastropoda,,Conus augur,Unknown,Global,Least Concern
animalia — gastropoda,,Conus legatus,Unknown,Global,Least Concern
animalia — reptilia,Namaqua Chameleon,Chamaeleo namaquensis,Unknown,Global,Least Concern
animalia — actinopterygii,Bigeye Trevally,Caranx sexfasciatus,Decreasing,Global,Least Concern
animalia — actinopterygii,Convict Surgeonfish,Acanthurus triostegus,Stable,Global,Least Concern
animalia — actinopterygii,Thompson's Surgeonfish,Acanthurus thompsoni,Stable,Global,Least Concern
animalia — actinopterygii,Brown Surgeonfish,Acanthurus nigrofuscus,Stable,Global,Least Concern
animalia — actinopterygii,Bicolored Toby,Canthigaster smithae,Unknown,Global,Least Concern
animalia — gastropoda,,Conus mozambicus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus berdulinus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus terebra,Unknown,Global,Least Concern
animalia — gastropoda,,Conus striatus,Stable,Global,Least Concern
animalia — gastropoda,,Conus litoglyphus,Unknown,Global,Least Concern
animalia — gastropoda,,Conus parvatus,,Global,Least Concern
animalia — actinopterygii,,Pisodonophis boro,Unknown,Global,Least Concern
animalia — mammalia,Egyptian Fruit Bat,Rousettus aegyptiacus,Stable,Global,Least Concern
animalia — mammalia,African Clawless Otter,Aonyx capensis,Decreasing,Global,Near Threatened
animalia — mammalia,Grant's Golden Mole,Eremitalpa granti,Unknown,Global,Least Concern
animalia — mammalia,Cape Rock Sengi,Elephantulus edwardii,Unknown,Global,Least Concern
animalia — amphibia,Namaqua Stream Frog,Strongylopus springbokensis,Unknown,Global,Least Concern
animalia — actinopterygii,European Anchovy,Engraulis encrasicolus,Decreasing,Global,Least Concern
animalia — actinopterygii,Spothead Lantern Fish,Diaphus metopoclampus,Unknown,Global,Least Concern
animalia — actinopterygii,Softhead Grenadier,Malacocephalus laevis,Unknown,Global,Least Concern
animalia — actinopterygii,Common Parrotfish,Scarus psittacus,Unknown,Global,Least Concern
animalia — actinopterygii,Bluemoon Parrotfish,Chlorurus atrilunula,Unknown,Global,Least Concern
animalia — actinopterygii,Tricolour Parrotfish,Scarus tricolor,Unknown,Global,Least Concern
animalia — actinopterygii,Carolines Parrotfish,Calotomus carolinus,Unknown,Global,Least Concern
animalia — insecta,Richtersveld Katydid,Africariola longicauda,Unknown,Global,Vulnerable
animalia — insecta,Alfred's Shieldback,Alfredectes semiaeneus,Unknown,Global,Least Concern
animalia — insecta,Karoo Winter Katydid,Brinckiella karooensis,Unknown,Global,Vulnerable
animalia — insecta,Long-tailed Meadow Katydid,Conocephalus caudalis,Unknown,Global,Least Concern
animalia — insecta,Cape Agile Katydid,Griffiniana capensis,Unknown,Global,Least Concern
animalia — insecta,Bachmann's Armoured Katydid,Hemihetrodes bachmanni,Unknown,Global,Least Concern
animalia — insecta,Peringuey's Ambush Katydid,Peringueyella jocosa,Unknown,Global,Least Concern
animalia — insecta,Green-kneed Seedpod Shieldback,Thoracistus viridicrus,Unknown,Global,Vulnerable
animalia — aves,White Stork,Ciconia ciconia,Increasing,Global,Least Concern
animalia — aves,Little Egret,Egretta garzetta,Increasing,Global,Least Concern
animalia — aves,Common Greenshank,Tringa nebularia,Stable,Global,Least Concern
animalia — actinopterygii,Scaleless Black Dragonfish,Melanostomias bartonbeani,Unknown,Global,Least Concern
animalia — aves,Lesser Grey Shrike,Lanius minor,Decreasing,Global,Least Concern
animalia — mammalia,Side-striped Jackal,Canis adustus,Stable,Global,Least Concern
animalia — chondrichthyes,Blacktip Reef Shark,Carcharhinus melanopterus,Decreasing,Global,Vulnerable
animalia — insecta,Yellowtail Meadow Katydid,Conocephalus iris,Unknown,Global,Least Concern
animalia — insecta,Reticulated Leaf Katydid,Eulioptera reticulata,Unknown,Global,Least Concern
animalia — insecta,Elongate Grass Katydid,Tylopsis rubrescens,Unknown,Global,Least Concern
animalia — insecta,Guilded Presba,Syncordulia legator,Unknown,Global,Vulnerable
animalia — insecta,African Cone-head,Conocephalus conocephalus,Unknown,Global,Least Concern
animalia — insecta,Mt. Coke False Shieldback,Acilacris furcatus,Unknown,Global,Critically Endangered
animalia — insecta,Dilated False Shieldback,Aroegas dilatatus,Unknown,Global,Vulnerable
animalia — insecta,Brown False Shieldback,Aroegas fuscus,Unknown,Global,Endangered
