kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — reptilia,Baluch Ground Gecko,Bunopus tuberculatus,Stable,Global,Least Concern
animalia — mammalia,Lesser Horseshoe Bat,Rhinolophus hipposideros,Decreasing,Global,Least Concern
animalia — insecta,,Ischnura evansi,Stable,Global,Least Concern
animalia — insecta,Ornate Bluet,Coenagrion ornatum,Decreasing,Global,Least Concern
animalia — insecta,Small Bluetail,Ischnura pumilio,Stable,Global,Least Concern
animalia — insecta,Common Clubtail,Gomphus vulgatissimus,Stable,Global,Least Concern
animalia — insecta,,Lestes macrostigma,Decreasing,Global,Least Concern
animalia — insecta,,Sympecma paedisca,Stable,Global,Least Concern
animalia — insecta,Broad-Bodied Chaser,Libellula depressa,Stable,Global,Least Concern
animalia — insecta,Southern Darter,Sympetrum meridionale,Stable,Global,Least Concern
animalia — mammalia,Particoloured Bat,Vespertilio murinus,Stable,Global,Least Concern
animalia — reptilia,Coin-marked Snake,Hemorrhois nummifer,Unknown,Global,Least Concern
animalia — aves,Stock Dove,Columba oenas,Increasing,Global,Least Concern
animalia — aves,Alpine Swift,Tachymarptis melba,Stable,Global,Least Concern
animalia — aves,Jack Snipe,Lymnocryptes minimus,Stable,Global,Least Concern
animalia — aves,Spotted Redshank,Tringa erythropus,Stable,Global,Least Concern
animalia — aves,Marsh Sandpiper,Tringa stagnatilis,Decreasing,Global,Least Concern
animalia — aves,Upcher's Warbler,Hippolais languida,Stable,Global,Least Concern
animalia — aves,Bearded Reedling,Panurus biarmicus,Unknown,Global,Least Concern
animalia — aves,Eastern Rock Nuthatch,Sitta tephronota,Stable,Global,Least Concern
animalia — aves,Rosy Starling,Pastor roseus,Unknown,Global,Least Concern
animalia — aves,Pied Wheatear,Oenanthe pleschanka,Stable,Global,Least Concern
animalia — aves,Alpine Accentor,Prunella collaris,Stable,Global,Least Concern
animalia — aves,Yellowhammer,Emberiza citrinella,Decreasing,Global,Least Concern
animalia — aves,Red-wattled Lapwing,Vanellus indicus,Unknown,Global,Least Concern
animalia — aves,Black Lark,Melanocorypha yeltoniensis,Decreasing,Global,Least Concern
animalia — aves,Common Pheasant,Phasianus colchicus,Decreasing,Global,Least Concern
animalia — aves,Mute Swan,Cygnus olor,Increasing,Global,Least Concern
animalia — aves,Common Crane,Grus grus,Increasing,Global,Least Concern
animalia — aves,Eurasian Bittern,Botaurus stellaris,Decreasing,Global,Least Concern
animalia — mammalia,Caracal,Caracal caracal,Unknown,Global,Least Concern
animalia — aves,Common Grasshopper-warbler,Locustella naevia,Stable,Global,Least Concern
animalia — aves,Rook,Corvus frugilegus,Decreasing,Global,Least Concern
animalia — aves,Carrion Crow,Corvus corone,Increasing,Global,Least Concern
animalia — insecta,Persian Band-winged Grasshopper,Pseudoceles persa,Unknown,Global,Least Concern
animalia — aves,Common Kestrel,Falco tinnunculus,Decreasing,Global,Least Concern
animalia — aves,Common Rosefinch,Carpodacus erythrinus,Decreasing,Global,Least Concern
animalia — aves,Ortolan Bunting,Emberiza hortulana,Decreasing,Global,Least Concern
animalia — aves,Eurasian Treecreeper,Certhia familiaris,Stable,Global,Least Concern
animalia — aves,Grey Wagtail,Motacilla cinerea,Stable,Global,Least Concern
animalia — aves,Black Stork,Ciconia nigra,Unknown,Global,Least Concern
animalia — aves,Common Nightingale,Luscinia megarhynchos,Stable,Global,Least Concern
animalia — aves,Yellow-billed Chough,Pyrrhocorax graculus,Stable,Global,Least Concern
animalia — aves,Azure Tit,Cyanistes cyanus,Decreasing,Global,Least Concern
animalia — aves,Red-headed Bunting,Emberiza bruniceps,Stable,Global,Least Concern
