kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — chondrichthyes,American Cownose Ray,Rhinoptera bonasus,Decreasing,Global,Vulnerable
animalia — amphibia,,Plethodon hubrichti,Unknown,Global,Vulnerable
animalia — actinopterygii,Bullethead Parrotfish,Chlorurus spilurus,Unknown,Global,Least Concern
animalia — myxini,Atlantic Hagfish,Myxine glutinosa,Unknown,Global,Least Concern
animalia — mammalia,American Manatee,Trichechus manatus,Decreasing,Global,Vulnerable
animalia — gastropoda,Tulotoma,Tulotoma magnifica,,Global,Endangered
animalia — actinopterygii,,Etheostoma trisella,Stable,Global,Vulnerable
animalia — gastropoda,Pat's Cone,Conus patae,Unknown,Global,Least Concern
animalia — actinopterygii,Indigo Hamlet,Hypoplectrus indigo,Unknown,"Global, Caribbean",Least Concern
animalia — actinopterygii,Long-snout Seahorse,Hippocampus reidi,Decreasing,Global,Near Threatened
animalia — actinopterygii,Rainbow Parrotfish,Scarus guacamaia,Decreasing,Global,Near Threatened
animalia — actinopterygii,Dealfish,Trachipterus arcticus,Unknown,Global,Least Concern
animalia — mammalia,,Molossus molossus,Unknown,Global,Least Concern
animalia — mammalia,Pygmy Rabbit,Brachylagus idahoensis,Unknown,Global,Least Concern
animalia — mammalia,Wolverine,Gulo gulo,Decreasing,Global,Least Concern
animalia — actinopterygii,Insular Pipefish,Anarchopterus tectus,Unknown,Global,Least Concern
animalia — actinopterygii,White-nose Pipefish,Cosmocampus albirostris,Unknown,Global,Least Concern
animalia — mammalia,Hawaiian Monk Seal,Neomonachus schauinslandi,Decreasing,Global,Endangered
animalia — mammalia,Harbor Seal,Phoca vitulina,Unknown,Global,Least Concern
animalia — insecta,Ashton's Cuckoo Bumblebee,Bombus bohemicus,Decreasing,Global,Data Deficient
animalia — insecta,Rusty Patched Bumble Bee,Bombus affinis,Decreasing,Global,Critically Endangered
animalia — insecta,Sitka bumble bee,Bombus sitkensis,Stable,Global,Least Concern
animalia — insecta,Van Dyke Bumble Bee,Bombus vandykei,Stable,Global,Least Concern
animalia — insecta,Vosnesensky Bumble Bee,Bombus vosnesenskii,Stable,Global,Least Concern
animalia — insecta,White Shouldered Bumble Bee,Bombus appositus,Unknown,Global,Least Concern
animalia — actinopterygii,Lantern Bass,Serranus baldwini,Unknown,Global,Least Concern
animalia — actinopterygii,Spotted Seahorse,Hippocampus kuda,Decreasing,Global,Vulnerable
animalia — actinopterygii,Northern Pipefish,Syngnathus fuscus,Unknown,Global,Least Concern
animalia — gastropoda,Pinto Abalone,Haliotis kamtschatkana,Stable,Global,Endangered
animalia — reptilia,Mojave Desert Tortoise,Gopherus agassizii,,Global,Vulnerable
animalia — actinopterygii,,Coris gaimard,Stable,Global,Least Concern
animalia — chondrichthyes,Bull Shark,Carcharhinus leucas,Unknown,Global,Near Threatened
animalia — amphibia,American White Lipped Frog,Leptodactylus fragilis,Stable,Global,Least Concern
animalia — amphibia,,Ambystoma opacum,Stable,Global,Least Concern
animalia — chondrichthyes,Caribbean Reef Shark,Carcharhinus perezi,Decreasing,Global,Near Threatened
animalia — reptilia,,Crotalus horridus,Decreasing,Global,Least Concern
animalia — amphibia,,Plethodon welleri,Decreasing,Global,Endangered
animalia — actinopterygii,,Astronesthes gemmifer,Unknown,Global,Data Deficient
animalia — actinopterygii,Swallowtail Bass,Anthias woodsi,Unknown,"Global, Caribbean",Least Concern
animalia — insecta,Hunt Bumble Bee,Bombus huntii,Stable,Global,Least Concern
animalia — actinopterygii,Scaleless Dragonfish,Leptostomias gladiator,Unknown,Global,Least Concern
animalia — actinopterygii,,Chirostomias pliopterus,Unknown,Global,Least Concern
animalia — actinopterygii,Alfonsino,Beryx decadactylus,Unknown,Global,Least Concern
animalia — actinopterygii,Devil's Hole Pupfish,Cyprinodon diabolis,Decreasing,Global,Critically Endangered
animalia — actinopterygii,Blackbanded Sunfish,Enneacanthus chaetodon,Decreasing,Global,Near Threatened
animalia — actinopterygii,Spotted Cardinalfish,Apogon maculatus,Stable,"Global, Caribbean",Least Concern
