kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — mammalia,Jaguarundi,Herpailurus yagouaroundi,Decreasing,Global,Least Concern
animalia — chondrichthyes,Largetooth Sawfish,Pristis pristis,Decreasing,Global,Critically Endangered
animalia — mammalia,Black-footed Ferret,Mustela nigripes,Decreasing,Global,Endangered
animalia — mammalia,Muskox,Ovibos moschatus,Stable,Global,Least Concern
animalia — aves,California Condor,Gymnogyps californianus,Increasing,Global,Critically Endangered
animalia — aves,Ivory-billed Woodpecker,Campephilus principalis,Unknown,Global,Critically Endangered
animalia — amphibia,Wyoming Toad,Anaxyrus baxteri,Decreasing,Global,Extinct in the Wild
animalia — aves,Hawaiian Crow,Corvus hawaiiensis,,Global,Extinct in the Wild
animalia — aves,Eskimo Curlew,Numenius borealis,Unknown,Global,Critically Endangered
animalia — mammalia,Red Wolf,Canis rufus,Decreasing,Global,Critically Endangered
animalia — gastropoda,Ozark Pyrg,Marstonia ozarkensis,,Global,Critically Endangered
animalia — insecta,,Hygrotus artus,,Global,Extinct
animalia — insecta,Lovegrass Noctuid Moth,Hypena plagiota,,Global,Extinct
animalia — gastropoda,Shoal Sprite,Amphigyra alabamensis,,Global,Extinct
animalia — gastropoda,Coosa Rocksnail,Leptoxis showalterii,,Global,Extinct
animalia — gastropoda,Striped Rocksnail,Leptoxis vittata,,Global,Extinct
animalia — gastropoda,Little Flat-top Snail,Neoplanorbis tantillus,,Global,Extinct
animalia — bivalvia,Haddleton Lampmussel,Obovaria haddletoni,,Global,Critically Endangered
animalia — malacostraca,,Pacifastacus nigrescens,Decreasing,Global,Extinct
animalia — gastropoda,,Partulina montagui,,Global,Extinct
animalia — gastropoda,Glossy Fossaria,Galba perpolita,Unknown,Global,Data Deficient
animalia — gastropoda,Ribbed Elimia,Elimia laeta,,Global,Extinct
animalia — gastropoda,,Carelia evelynae,,Global,Extinct
animalia — gastropoda,,Carelia glossema,,Global,Extinct
animalia — gastropoda,Shouldered Elimia,Elimia gibbera,,Global,Extinct
animalia — gastropoda,,Clappia cahabensis,,Global,Extinct
animalia — insecta,,Rhyncogonus bryani,,Global,Extinct
animalia — gastropoda,,Somatogyrus alcoviensis,,Global,Extinct
animalia — gastropoda,,Somatogyrus crassus,Unknown,Global,Critically Endangered
animalia — gastropoda,,Somatogyrus amnicoloides,,Global,Extinct
animalia — gastropoda,Ovate Pebblesnail,Somatogyrus excavatus,Unknown,Global,Data Deficient
animalia — gastropoda,,Somatogyrus wheeleri,,Global,Extinct
animalia — insecta,Volutine Stoneyian Tabanid Fly,Stonemyia volutina,,Global,Extinct
animalia — gastropoda,,Perdicella fulgurans,,Global,Extinct
animalia — gastropoda,,Perdicella zebrina,,Global,Extinct
animalia — gastropoda,Fish Lake Physa,Physella microstriata,,Global,Extinct
animalia — actinopterygii,Utah Lake Sculpin,Cottus echinatus,,Global,Extinct
animalia — bivalvia,,Epioblasma turgidula,,Global,Extinct
animalia — insecta,,Genophantis leahi,,Global,Extinct
animalia — insecta,,Glaucopsyche xerces,,Global,Extinct
animalia — gastropoda,,Achatinella caesia,,Global,Extinct
animalia — gastropoda,,Achatinella elegans,,Global,Extinct
animalia — gastropoda,,Achatinella spaldingi,,Global,Extinct
animalia — insecta,,Agrotis laysanensis,,Global,Extinct
animalia — gastropoda,,Amastra forbesi,,Global,Extinct
animalia — amphibia,,Lithobates tarahumarae,Decreasing,Global,Vulnerable
animalia — mammalia,Caribbean Monk Seal,Neomonachus tropicalis,,Global,Extinct
animalia — aves,Amaui,Myadestes woahensis,,Global,Extinct
animalia — aves,Maui Nukupuu,Hemignathus affinis,Unknown,Global,Critically Endangered
animalia — aves,Worthen's Sparrow,Spizella wortheni,Decreasing,Global,Endangered
animalia — aves,Greater Koa-finch,Rhodacanthis palmeri,,Global,Extinct
animalia — aves,Oahu Alauahio,Paroreomyza maculata,Unknown,Global,Critically Endangered
animalia — aves,Black Mamo,Drepanis funerea,,Global,Extinct
animalia — aves,Labrador Duck,Camptorhynchus labradorius,,Global,Extinct
animalia — aves,Wake Rail,Hypotaenidia wakensis,,Global,Extinct
animalia — aves,Ou,Psittirostra psittacea,Unknown,Global,Critically Endangered
animalia — malacostraca,Sandhills Crayfish,Procambarus angustatus,Unknown,Global,Extinct
animalia — actinopterygii,Phantom Shiner,Notropis orca,,Global,Extinct
animalia — insecta,Molokai Damselfly,Megalagrion molokaiense,Unknown,Global,Critically Endangered
animalia — aves,Oahu Nukupuu,Hemignathus lucidus,,Global,Extinct
animalia — aves,Poo-uli,Melamprosops phaeosoma,,Global,Extinct
animalia — insecta,Laysan Dropseed Noctuid Moth,Hypena laysanensis,,Global,Extinct
animalia — insecta,,Leptogryllus deceptor,,Global,Extinct in the Wild
animalia — gastropoda,,Lottia alveus,,Global,Extinct
animalia — gastropoda,,Lyropupa perlonga,,Global,Extinct
animalia — bivalvia,Black Clubshell,Pleurobema curtum,Decreasing,Global,Critically Endangered
animalia — gastropoda,,Perdicella maniensis,,Global,Extinct
animalia — gastropoda,Umbilicate Flat-top Snail,Neoplanorbis umbilicatus,,Global,Extinct
animalia — gastropoda,,Newcombia philippiana,,Global,Extinct
animalia — gastropoda,Thickshell Pondsnail,Stagnicola utahensis,,Global,Critically Endangered
animalia — actinopterygii,Monterrey Spanish Mackerel,Scomberomorus concolor,Decreasing,Global,Vulnerable
animalia — gastropoda,Angular Pebblesnail,Somatogyrus biangulatus,Unknown,Global,Data Deficient
animalia — gastropoda,Knotty Pebblesnail,Somatogyrus constrictus,Unknown,Global,Data Deficient
animalia — gastropoda,Thick-lipped Pebblesnail,Somatogyrus crassilabris,,Global,Extinct
animalia — gastropoda,,Somatogyrus nanus,Unknown,Global,Critically Endangered
animalia — malacostraca,,Thermosphaeroma thermophilum,,Global,Extinct in the Wild
animalia — insecta,Ola'a Peppered Looper Moth,Tritocleis microphylla,,Global,Extinct
animalia — gastropoda,,Carelia cumingiana,,Global,Extinct
animalia — gastropoda,,Carelia lymani,,Global,Extinct
animalia — gastropoda,,Carelia kalalauensis,,Global,Extinct
animalia — gastropoda,,Carelia paradoxa,,Global,Extinct
animalia — aves,Kauai Oo,Moho braccatus,,Global,Extinct
animalia — aves,Bishop's Oo,Moho bishopi,,Global,Extinct
animalia — gastropoda,,Galba vancouverensis,,Global,Extinct
animalia — aves,Hawaiian Rail,Zapornia sandwichensis,,Global,Extinct
animalia — actinopterygii,Santa Cruz Pupfish,Cyprinodon arcuatus,,Global,Extinct
animalia — insecta,,Trigonoscuta rossi,,Global,Extinct
animalia — insecta,,Clavicoccus erinaceus,,Global,Extinct
animalia — gastropoda,,Collisella edmitchelli,,Global,Extinct
animalia — insecta,Central Valley Grasshopper,Conozoa hyalina,,Global,Extinct
animalia — actinopterygii,,Coregonus johannae,,Global,Extinct
animalia — gastropoda,Ribbed Slitshell,Gyrotoma pumila,,Global,Extinct
animalia — insecta,Minute Noctuid Moth,Helicoverpa minuta,,Global,Extinct
animalia — gastropoda,,Achatinella dimorpha,,Global,Extinct
animalia — gastropoda,,Achatinella livida,,Global,Extinct
animalia — insecta,Midway Noctuid Moth,Agrotis fasciata,,Global,Extinct
animalia — gastropoda,,Amastra pellucida,,Global,Extinct
animalia — gastropoda,,Somatogyrus trothis,Unknown,Global,Data Deficient
animalia — gastropoda,Olive Marstonia,Marstonia olivacea,,Global,Extinct
animalia — bivalvia,,Pleurobema verum,,Global,Extinct
