kingdom_class,common_name,scientific_name,trend,region,threat_level
animalia — mammalia,Lesser Horseshoe Bat,Rhinolophus hipposideros,Decreasing,Global,Least Concern
animalia — insecta,Variable Bluet,Coenagrion pulchellum,Stable,Global,Least Concern
animalia — insecta,Small Bluetail,Ischnura pumilio,Stable,Global,Least Concern
animalia — insecta,,Lestes macrostigma,Decreasing,Global,Least Concern
animalia — insecta,,Sympecma paedisca,Stable,Global,Least Concern
animalia — insecta,Southern Darter,Sympetrum meridionale,Stable,Global,Least Concern
animalia — mammalia,Particoloured Bat,Vespertilio murinus,Stable,Global,Least Concern
animalia — reptilia,Steppe-runner,Eremias arguta,Stable,Global,Least Concern
animalia — reptilia,Coin-marked Snake,Hemorrhois nummifer,Unknown,Global,Least Concern
animalia — aves,Stock Dove,Columba oenas,Increasing,Global,Least Concern
animalia — aves,Alpine Swift,Tachymarptis melba,Stable,Global,Least Concern
animalia — aves,Jack Snipe,Lymnocryptes minimus,Stable,Global,Least Concern
animalia — aves,Spotted Redshank,Tringa erythropus,Stable,Global,Least Concern
animalia — aves,Marsh Sandpiper,Tringa stagnatilis,Decreasing,Global,Least Concern
animalia — aves,Upcher's Warbler,Hippolais languida,Stable,Global,Least Concern
animalia — aves,Bearded Reedling,Panurus biarmicus,Unknown,Global,Least Concern
animalia — aves,Eastern Rock Nuthatch,Sitta tephronota,Stable,Global,Least Concern
animalia — aves,Rosy Starling,Pastor roseus,Unknown,Global,Least Concern
animalia — aves,Pied Wheatear,Oenanthe pleschanka,Stable,Global,Least Concern
animalia — aves,Alpine Accentor,Prunella collaris,Stable,Global,Least Concern
animalia — aves,Eurasian Blackcap,Sylvia atricapilla,Increasing,Global,Least Concern
animalia — aves,Yellowhammer,Emberiza citrinella,Decreasing,Global,Least Concern
animalia — aves,Black Lark,Melanocorypha yeltoniensis,Decreasing,Global,Least Concern
animalia — aves,Common Pheasant,Phasianus colchicus,Decreasing,Global,Least Concern
animalia — aves,Mute Swan,Cygnus olor,Increasing,Global,Least Concern
animalia — aves,Common Crane,Grus grus,Increasing,Global,Least Concern
animalia — aves,Eurasian Bittern,Botaurus stellaris,Decreasing,Global,Least Concern
animalia — mammalia,Caracal,Caracal caracal,Unknown,Global,Least Concern
animalia — aves,Common Grasshopper-warbler,Locustella naevia,Stable,Global,Least Concern
animalia — aves,Rook,Corvus frugilegus,Decreasing,Global,Least Concern
animalia — aves,Carrion Crow,Corvus corone,Increasing,Global,Least Concern
animalia — aves,Caspian Gull,Larus cachinnans,Increasing,Global,Least Concern
animalia — mammalia,Brown Bear,Ursus arctos,Stable,Global,Least Concern
animalia — aves,Common Kestrel,Falco tinnunculus,Decreasing,Global,Least Concern
animalia — aves,Common Rosefinch,Carpodacus erythrinus,Decreasing,Global,Least Concern
animalia — aves,Ortolan Bunting,Emberiza hortulana,Decreasing,Global,Least Concern
animalia — aves,Eurasian Treecreeper,Certhia familiaris,Stable,Global,Least Concern
animalia — aves,Grey Wagtail,Motacilla cinerea,Stable,Global,Least Concern
animalia — aves,Black Stork,Ciconia nigra,Unknown,Global,Least Concern
animalia — aves,Common Nightingale,Luscinia megarhynchos,Stable,Global,Least Concern
animalia — aves,Yellow-billed Chough,Pyrrhocorax graculus,Stable,Global,Least Concern
animalia — aves,Azure Tit,Cyanistes cyanus,Decreasing,Global,Least Concern
animalia — aves,Red-headed Bunting,Emberiza bruniceps,Stable,Global,Least Concern
animalia — aves,Black-bellied Sandgrouse,Pterocles orientalis,Decreasing,Global,Least Concern
animalia — aves,Desert Lark,Ammomanes deserti,Increasing,Global,Least Concern
animalia — aves,Northern Long-eared Owl,Asio otus,Decreasing,Global,Least Concern
animalia — aves,Lesser Kestrel,Falco naumanni,Stable,Global,Least Concern
animalia — aves,Eurasian Jackdaw,Corvus monedula,Stable,Global,Least Concern
animalia — aves,White-throated Dipper,Cinclus cinclus,Decreasing,Global,Least Concern
animalia — aves,Meadow Pipit,Anthus pratensis,Decreasing,Global,Near Threatened
animalia — aves,Pygmy Cormorant,Microcarbo pygmaeus,Increasing,Global,Least Concern
animalia — aves,Finsch's Wheatear,Oenanthe finschii,Stable,Global,Least Concern
animalia — aves,Black Redstart,Phoenicurus ochruros,Increasing,Global,Least Concern
animalia — aves,Olivaceous Warbler,Iduna pallida,Stable,Global,Least Concern
animalia — aves,Common Whitethroat,Sylvia communis,Increasing,Global,Least Concern
animalia — aves,Eurasian Penduline-tit,Remiz pendulinus,Increasing,Global,Least Concern
animalia — aves,Eurasian Oystercatcher,Haematopus ostralegus,Decreasing,Global,Near Threatened
animalia — aves,Bluethroat,Cyanecula svecica,Stable,Global,Least Concern
animalia — aves,European Bee-eater,Merops apiaster,Stable,Global,Least Concern
animalia — aves,Glossy Ibis,Plegadis falcinellus,Decreasing,Global,Least Concern
animalia — aves,Red-necked Phalarope,Phalaropus lobatus,Decreasing,Global,Least Concern
animalia — aves,Sociable Lapwing,Vanellus gregarius,Decreasing,Global,Critically Endangered
animalia — aves,Grey Heron,Ardea cinerea,Unknown,Global,Least Concern
animalia — aves,Eurasian Spoonbill,Platalea leucorodia,Unknown,Global,Least Concern
animalia — aves,Bonelli's Eagle,Aquila fasciata,Decreasing,Global,Least Concern
animalia — aves,Greater Sandplover,Charadrius leschenaultii,Decreasing,Global,Least Concern
animalia — aves,Velvet Scoter,Melanitta fusca,Decreasing,Global,Vulnerable
animalia — aves,Eurasian Bullfinch,Pyrrhula pyrrhula,Decreasing,Global,Least Concern
animalia — aves,Rufous-tailed Scrub-robin,Cercotrichas galactotes,Stable,Global,Least Concern
animalia — aves,Little Gull,Hydrocoloeus minutus,Increasing,Global,Least Concern
animalia — mammalia,Golden Jackal,Canis aureus,Increasing,Global,Least Concern
animalia — mammalia,Red Fox,Vulpes vulpes,Stable,Global,Least Concern
animalia — mammalia,Tiger,Panthera tigris,Decreasing,Global,Endangered
animalia — aves,Black-necked Grebe,Podiceps nigricollis,Unknown,Global,Least Concern
animalia — reptilia,,Natrix tessellata,Decreasing,Global,Least Concern
animalia — insecta,Bath White,Pontia daplidice,Stable,Global,Least Concern
animalia — reptilia,Southern Even-fingered Gecko,Alsophylax laevis,Decreasing,Global,Critically Endangered
animalia — insecta,Spotted Darter,Sympetrum depressiusculum,Unknown,Global,Least Concern
animalia — mammalia,Eurasian Otter,Lutra lutra,Decreasing,Global,Near Threatened
animalia — mammalia,Siberian Ibex,Capra sibirica,Decreasing,Global,Near Threatened
animalia — insecta,Blue-eyed Goldenring,Cordulegaster insignis,Stable,Global,Least Concern
animalia — mammalia,Wild Boar,Sus scrofa,Unknown,Global,Least Concern
