Country	Birds	Amphibians	Reptiles	Fish	Mammals	Vascular plants
Brazil	1,813	1,022	814	4,521	648	56,215
Colombia	1,878	771	601	2,053	442	51,220
China	1,288	461	490	3,622	551	32,200
Indonesia	1,711	365	755	4,772	670	29,375
Mexico	1,104	396	957	2,624	523	26,071
South Africa	762	132	447	2,087	297	23,420
Venezuela	1,394	363	409	1,723	363	21,073
United States (USA)	860	313	530	3,074	440	19,473
India	1,211	434	689	2,583	412	18,664
Ecuador	1,622	626	478	1,109	372	19,362
Australia	723	245	1,078	4,934	349	15,638
Peru	1,858	572	495	1,573	467	17,144
Bolivia	1,438	256	315	404	363	17,367
Malaysia	718	269	486	1,938	336	15,500
Papua New Guinea	744	395	289	2,858	269	11,544
Thailand	934	147	437	2,138	311	11,625
Costa Rica	857	211	263	1,120	227	12,119
Vietnam	835	244	479	2,421	287	10,500
Congo, The Democratic Republic of the	1,107	244	317	1,480	430	11,007
Tanzania, United Republic of	1,075	206	359	1,755	359	10,008
Philippines	593	114	350	3,339	190	8,931
Russian Federation	661	33	89	956	300	11,400
Panama	884	225	278	1,410	246	9,915
Argentina	1,004	172	447	1,016	374	9,372
Madagascar	247	360	434	1,173	228	9,505
Cameroon	885	223	292	1,063	335	8,260
Guatemala	709	163	275	902	220	8,681
Japan	446	90	98	4,054	144	5,565
Turkey	392	37	150	832	149	8,650
Laos	698	104	181	572	215	8,286
Myanmar	1,031	101	337	1,072	294	7,000
Nicaragua	677	74	198	1,073	203	7,590
Iran	474	21	332	673	186	8,000
Kenya	1,058	115	280	1,057	376	6,506
Paraguay	691	80	189	263	165	7,851
Guyana	795	135	185	993	235	6,409
Congo	611	76	352	1,508	197	6,000
Mozambique	675	90	225	1,768	236	5,692
Nepal	822	56	148	291	182	6,973
Gabon	606	98	139	792	182	6,651
Uganda	999	62	175	270	319	6,500
Cuba	317	69	175	1,103	65	6,522
Ethiopia	819	72	242	170	271	6,603
Honduras	704	144	280	1,027	212	5,680
French Guiana	709	112	168	960	207	5,625
Angola	915	103	280	926	285	5,185
Suriname	700	113	158	1,045	210	5,018
British Indian Ocean Territory	411	12	28	487	138	6,000
Nigeria	864	117	203	775	285	4,715
Cambodia	512	50	192	936	164	5,000
Chile	441	63	150	771	143	5,284
Italy	355	49	60	619	113	5,599
Kazakhstan	440	14	53	116	155	6,000
Pakistan	611	23	208	721	191	4,950
Dominican Republic	246	51	124	531	49	5,657
Bangladesh	607	37	136	569	139	5,000
Spain	382	38	75	803	115	5,050
Zambia	733	88	187	406	234	4,747
Bhutan	615	39	65	52	99	5,468
Haiti	258	58	123	527	49	5,242
Greece	346	26	75	641	101	4,992
France	357	42	189	803	123	4,630
Portugal	310	22	44	558	90	5,050
Ukraine	317	21	23	239	112	5,100
Zimbabwe	627	59	190	150	200	4,440
Ghana	681	89	182	694	257	3,725
Guinea	633	79	612	979	223	3,000
Cote d'lvoire	670	85	153	675	252	3,660
Tajikistan	326	5	49	4	68	5,000
Uzbekistan	352	2	61	86	83	4,800
Sri Lanka	376	123	230	1,125	117	3,314
Malawi	636	77	125	470	189	3,765
Cayman Islands	711	56	198	473	219	3,602
Canada	518	46	54	1,140	202	3,270
Croatia	308	17	41	418	95	4,288
Georgia	281	13	154	133	102	4,350
Sudan	917	14	194	480	281	3,137
Morocco	341	14	109	734	133	3,675
Kyrgyzstan	328	4	55	32	71	4,500
Azerbaijan	349	11	65	85	103	4,300
Somalia	570	35	239	841	176	3,028
Serbia	312	22	20	94	92	4,082
Togo	573	35	159	565	175	3,085
Solomon Islands	245	19	99	973	69	3,172
Equatorial Guinea	436	51	74	567	174	3,250
Belize	549	38	144	649	150	2,894
El Salvador	500	30	154	587	162	2,911
Jamaica	186	25	50	636	49	3,308
Benin	548	42	135	598	157	2,500
Trinidad and Tobago	414	37	118	987	114	2,259
New Zealand	231	8	73	1,105	44	2,382
Senegal	556	40	129	787	189	2,086
Sierra Leone	582	57	98	684	190	2,090
Liberia	537	60	105	613	180	2,200
Singapore	366	29	125	719	68	2,282
Taiwan	377	44	118	2,868		
Rwanda	638	42	81	77	184	2,288
Mali	566	22	356	142	136	1,741
New Caledonia	126	1	131	2,406		
Guinea-Bissau	456	21	69	677	123	1,000
Gambia	455	28	93	581	133	974
Palau	113	1	35	1,550	25	500
Seychelles	98	14	36	1,169	13	850
Namibia	599	45	275	662		
South Korea	359	16	12	1,107		
Oman	323	2	108	1,043		
Fiji	109	3	43	1,302		
Egypt	378	10	114	936		
Micronesia, Federated States of	128	0	40	1,230		
Saudi Arabia	390	6	107	852		
Hong Kong	218	22	75	1,026		
Mauritania	471	12	93	711		
Uruguay	408	51	80	713		
Tonga	51	0	26	1,143		
Mauritius	78	2	32	1,107		
Maldives	84	2	10	1,122		
Yemen	342	6	112	752		
Israel	388	11	106	695		
Bahamas	264	5	46	884		
Central African Republic	719	58	205	198		
Puerto Rico	268	26	72	803		
Guam	106	8	21	1,011		
Samoa	46	0	22	967		
French Polynesia	94	0	8	931		
Marshall Islands	62	0	8	957		
Reunion	56	1	17	953		
Eritrea	540	17	97	355		
Jordan	331	5	115	556		
Vanuatu	87	1	38	843		
Brunei Darussalam	411	12	28	499		
Burundi	596	28	66	243		
Algeria	317	15	107	476		
Northern Mariana Islands	116	1	2	788		
United Arab Emirates	293	2	74	519		
South Sudan	804	36	21	13		
Kuwait	292	0	36	526		
Syrian Arab Republic	347	7	101	395		
Cape Verde	87	0	29	710		
Iraq	374	8	116	317		
Botswana	534	36	159	83		
Albania	302	16	41	420		
American Samoa	43	0	3	731		
Chad	524	20	91	138		
Aruba	182	3	13	574		
Qatar	233	0	25	505		
Virgin Islands, U.S.	148	7	36	569		
Tunisia	309	5	74	364		
Bahrain	222	1	11	517		
Barbados	207	2	12	529		
Dominica	206	4	19	501		
Slovenia	289	17	24	398		
Djibouti	287	5	36	395		
Antigua and Barbuda	206	3	4	502		
Saint Lucia	208	4	3	495		
Martinique	217	6	30	456		
United Kingdom	266	15	5	422		
Saint Vincent and the Grenadines	201	5	0	486		
Lebanon	295	7	57	325		
Montenegro	310	17	22	328		
Burkina Faso	450	23	81	123		
Western Sahara	165	2	65	443		
Comoros	100	0	8	563		
Virgin Islands, British	147	5	36	480		
Saint Kitts and Nevis	199	3	1	461		
Christmas Island	48	0	3	610		
Swaziland	463	38	102	57		
Guadeloupe	183	7	33	435		
North Korea	325	17	8	305		
Niger	436	11	100	107		
Grenada	111	5	31	498		
Afghanistan	391	12	112	125		
Bosnia and Herzegovina	281	16	1	336		
Bermuda	152	1	10	470		
Turks and Caicos Islands	242	2	6	380		
Ireland	208	3	18	399		
Cook Islands	39	0	16	570		
Libya	266	3	67	284		
Montserrat	197	3	12	405		
Bulgaria	335	19	40	222		
Germany	311	22	16	245		
Cyprus	275	3	30	279		
East Timor (Timor-Leste)	236	0	29	313		
Kiribati	39	0	3	534		
Anguilla	120	3	20	432		
Romania	322	20	24	207		
Norway	254	6	9	292		
Cocos (Keeling) Island	27	0	3	513		
Sweden	277	13	7	246		
Malta	205	2	10	322		
Turkmenistan	365	5	89	67		
Denmark	275	16	6	221		
Netherlands	270	17	18	210		
Gibraltar	163	1	15	331		
Belgium	263	19	10	193		
Mongolia	360	6	33	81		
Poland	290	18	12	144		
Mayotte	72	3	20	356		
São Tomé and Príncipe	89	8	3	351		
Austria	304	20	16	93		
North Macedonia	320	12	35	56		
Slovakia	293	18	14	92		
Switzerland	284	21	18	88		
Armenia	296	7	53	54		
Iceland	109	0	1	299		
Hungary	285	17	17	83		
Latvia	267	12	7	114		
Czech Republic	286	21	13	80		
Finland	263	6	6	101		
Pitcairn	24	0	2	339		
Lithuania	242	13	8	98		
Norfolk Island	44	0	2	303		
Estonia	253	12	6	72		
Belarus	263	14	7	58		
Greenland	73	0	0	263		
Moldova, Republic of	237	12	14	62		
Monaco	24	2	3	288		
Lesotho	248	18	20	12		
Niue	24	0	4	229		
Faroe Islands	121	0	0	131		
Saint Helena	66	1	0	171		
Wallis and Futuna	36	0	0	200		
Antarctica	34	0	1	199		
Tuvalu	18	0	6	197		
Luxemburg	186	16	5	14		
Falkland Island (Malvinas)	122	0	0	92		
Saint Pierre and Miquelon	199	0	0	13		
Liechtenstein	176	9	1	13		
Macau	40	5	2	149		
Andorra	125	2	8	7		
South Georgia and the South Sandwich Islands	77	0	0	60		
Tokelau	10	0	4	118		
Nauru	20	0	10	85		
French Southern Territories (France)	51	0	51	0		
Svalbard and Jan Mayen	54	0	0	43		
United States Minor Outlying Islands	87	0	0	0		
Heard Islands and McDonald Islands	28	0	0	28		
Bouvet Island	13	0	0	13		
San Marino	18	1	1	0		
Netherlands Antilles	0	2	8	0		
Holy See (Vatican City State)	0	0	0	0
