Country,perc_area_protected_all_obj,perc_area_protected_obj_2,perc_area_protected_obj_3,perc_area_protected_obj_4,perc_area_protected_obj_1a,perc_area_protected_obj_1b,perc_area_protected_no_obj,perc_area_protected_obj_5,perc_area_protected_obj_6
Australia,19.2,4.17,0.24,0.27,2.01,0.57,0.34,0.98,10.63
Austria,28.54,2.38,0.01,5.8,0.01,0.12,4.62,15.35,0.2
Belgium,24.97,0.07,0.0,1.54,0.0,0.0,9.19,12.59,1.59
Canada,11.02,6.26,0.02,0.36,0.1,3.68,0.24,0.01,0.35
Czech Republic,21.91,1.06,0.33,0.98,0.04,0.04,5.16,14.29,0.0
Denmark,14.55,0.19,0.02,2.03,0.02,0.0,11.38,0.78,0.14
Finland,13.27,1.68,0.0,0.6,0.47,7.53,2.95,0.04,0.0
France,26.11,0.65,0.0,0.91,0.04,0.0,8.4,16.11,0.0
Germany,37.13,0.49,0.02,3.63,0.0,0.0,7.65,25.24,0.0
Greece,34.81,0.66,0.33,7.69,0.06,0.0,20.16,0.5,5.42
Hungary,22.62,2.34,0.0,0.29,0.0,0.0,13.41,6.48,0.0
Iceland,20.69,14.92,0.09,0.96,0.0,2.02,0.51,1.29,0.21
Ireland,13.35,0.0,0.0,0.87,0.0,0.0,12.46,0.01,0.0
Italy,21.17,4.87,0.02,3.6,0.19,0.0,11.02,1.45,0.0
Japan,20.05,3.27,0.01,6.63,0.17,1.77,0.0,8.06,0.03
Korea,15.23,2.9,0.0,6.53,0.97,0.0,0.28,1.41,3.13
Luxembourg,51.37,32.61,0.0,14.74,0.0,3.0,0.55,0.47,0.0
Mexico,13.94,0.32,0.01,0.01,0.98,0.0,3.48,0.0,9.14
Netherlands,21.36,2.93,0.0,6.88,0.0,0.0,11.46,0.08,0.0
New Zealand,32.93,10.16,12.47,0.91,0.2,1.04,0.2,7.09,0.72
Norway,17.94,9.89,0.0,1.57,2.18,0.04,0.08,4.14,0.0
Poland,39.67,0.62,0.0,0.53,0.0,0.0,30.51,7.97,0.0
Portugal,22.3,0.76,0.04,0.63,0.07,0.11,13.82,6.47,0.37
Slovak Republic,37.59,4.64,0.04,0.38,0.85,0.9,19.49,11.26,0.0
Spain,27.98,2.03,0.19,0.41,0.06,0.05,17.66,7.21,0.34
Sweden,14.2,1.58,0.05,0.25,1.57,6.68,3.46,0.6,0.0
Switzerland,10.27,0.01,0.0,6.18,0.46,0.0,3.47,0.14,0.0
United Kingdom,27.63,0.54,0.19,8.03,0.0,0.0,3.29,15.58,0.0
United States,12.54,0.8,0.07,3.35,0.07,4.82,0.07,2.91,0.44
