Country,perc_area_protected_all_obj,perc_area_protected_obj_2,perc_area_protected_obj_3,perc_area_protected_obj_4,perc_area_protected_obj_1a,perc_area_protected_obj_1b,perc_area_protected_no_obj,perc_area_protected_obj_5,perc_area_protected_obj_6
APEC,11.07,2.64,0.13,1.83,0.86,1.4,0.87,0.66,2.36
ASEAN,13.55,4.94,0.09,2.32,1.72,0.0,1.4,0.49,1.21
American Samoa,17.27,0.0,0.0,0.0,0.0,0.0,0.0,17.27,0.0
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,8.39,1.84,0.04,0.19,0.27,0.03,1.46,0.33,4.09
Armenia,24.11,8.23,0.0,2.98,1.18,0.0,10.59,0.0,1.13
Aruba,23.39,0.0,0.0,0.0,0.0,0.0,23.39,0.0,0.0
Australia,19.2,4.17,0.24,0.27,2.01,0.57,0.34,0.98,10.63
Austria,28.54,2.38,0.01,5.8,0.01,0.12,4.62,15.35,0.2
Azerbaijan,5.93,1.85,0.0,2.27,1.01,0.0,0.13,0.0,0.01
"BRIICS economies - Brazil, Russia, India, Indonesia, China and South Africa",11.78,1.63,0.05,1.9,1.14,0.0,3.62,0.98,2.04
Belarus,9.73,1.07,0.0,4.41,1.44,0.0,1.88,0.02,0.0
Belgium,24.97,0.07,0.0,1.54,0.0,0.0,9.19,12.59,1.59
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonaire,19.36,17.4,0.0,0.0,0.0,0.0,1.96,0.0,0.0
Bouvet Island,265.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,29.8,4.13,0.07,0.03,2.06,0.0,11.83,4.58,6.78
British Indian Ocean Territory,100.0,40.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
British Virgin Islands,16.49,2.51,0.0,0.0,0.0,0.0,13.98,0.0,0.0
Bulgaria,40.43,1.34,0.19,0.05,0.67,0.0,35.27,2.3,0.58
Canada,11.02,6.26,0.02,0.36,0.1,3.68,0.24,0.01,0.35
